order_id,step_k,term_id_added,rank_H,rank_Delta,rank_Nuisance,rank_Sigma,rank_Augmented,quotient_gain,delta_in_eta,marginal_rank_H,marginal_rank_Delta,marginal_rank_Nuisance,marginal_quotient_gain
random_10,20,t07,14,10,14,9,20,6,True,0,0,0,1
random_10,21,t13,14,10,14,9,21,7,True,0,0,0,1
random_10,22,t22,14,10,14,9,22,8,True,0,0,0,1
random_10,23,t15,14,10,14,9,23,9,True,0,0,0,1
random_11,1,t10,1,1,1,1,1,0,True,1,1,1,0
random_11,2,t12,2,2,2,2,2,0,True,1,1,1,0
random_11,3,t07,3,3,3,3,3,0,True,1,1,1,0
random_11,4,t01,4,4,4,4,4,0,True,1,1,1,0
random_11,5,t13,5,5,5,5,5,0,True,1,1,1,0
random_11,6,t08,6,6,6,5,6,0,True,1,1,1,0
random_11,7,t16,7,6,7,6,7,0,True,1,0,1,0
random_11,8,t05,8,7,8,7,8,0,True,1,1,1,0
random_11,9,t18,9,7,9,8,9,0,True,1,0,1,0
random_11,10,t06,10,8,10,8,10,0,True,1,1,1,0
random_11,11,t21,11,9,11,9,11,0,True,1,1,1,0
random_11,12,t02,12,9,12,9,12,0,True,1,0,1,0
random_11,13,t15,13,10,13,9,13,0,True,1,1,1,0
random_11,14,t14,13,10,13,9,14,1,True,0,0,0,1
random_11,15,t11,14,10,14,9,15,1,True,1,0,1,0
random_11,16,t17,14,10,14,9,16,2,True,0,0,0,1
random_11,17,t20,14,10,14,9,17,3,True,0,0,0,1
random_11,18,t04,14,10,14,9,18,4,True,0,0,0,1
random_11,19,t22,14,10,14,9,19,5,True,0,0,0,1
random_11,20,t03,14,10,14,9,20,6,True,0,0,0,1
random_11,21,t23,14,10,14,9,21,7,True,0,0,0,1
random_11,22,t19,14,10,14,9,22,8,True,0,0,0,1
random_11,23,t09,14,10,14,9,23,9,True,0,0,0,1
random_12,1,t21,1,1,1,1,1,0,True,1,1,1,0
random_12,2,t14,2,2,2,2,2,0,True,1,1,1,0
random_12,3,t07,3,3,3,3,3,0,True,1,1,1,0
random_12,4,t17,4,4,4,4,4,0,True,1,1,1,0
random_12,5,t06,5,5,5,5,5,0,True,1,1,1,0
random_12,6,t12,6,6,6,6,6,0,True,1,1,1,0
random_12,7,t22,7,6,7,7,7,0,True,1,0,1,0
random_12,8,t01,8,7,8,7,8,0,True,1,1,1,0
random_12,9,t19,9,8,9,7,9,0,True,1,1,1,0
random_12,10,t02,10,9,10,8,10,0,True,1,1,1,0
random_12,11,t16,11,9,11,8,11,0,True,1,0,1,0
random_12,12,t15,11,9,11,8,12,1,True,0,0,0,1
random_12,13,t23,12,9,12,8,13,1,True,1,0,1,0
random_12,14,t09,13,9,13,9,14,1,True,1,0,1,0
random_12,15,t08,13,9,13,9,15,2,True,0,0,0,1
random_12,16,t05,14,10,14,9,16,2,True,1,1,1,0
random_12,17,t10,14,10,14,9,17,3,True,0,0,0,1
random_12,18,t03,14,10,14,9,18,4,True,0,0,0,1
random_12,19,t11,14,10,14,9,19,5,True,0,0,0,1
random_12,20,t20,14,10,14,9,20,6,True,0,0,0,1
random_12,21,t18,14,10,14,9,21,7,True,0,0,0,1
random_12,22,t13,14,10,14,9,22,8,True,0,0,0,1
random_12,23,t04,14,10,14,9,23,9,True,0,0,0,1
random_13,1,t11,1,1,1,1,1,0,True,1,1,1,0
random_13,2,t15,2,2,2,2,2,0,True,1,1,1,0
random_13,3,t23,3,3,3,3,3,0,True,1,1,1,0
random_13,4,t05,4,4,4,4,4,0,True,1,1,1,0
random_13,5,t06,5,5,5,5,5,0,True,1,1,1,0
random_13,6,t10,6,6,6,6,6,0,True,1,1,1,0
random_13,7,t22,7,6,7,7,7,0,True,1,0,1,0
random_13,8,t12,8,6,8,7,8,0,True,1,0,1,0
random_13,9,t04,9,7,9,8,9,0,True,1,1,1,0
random_13,10,t21,10,8,10,8,10,0,True,1,1,1,0
random_13,11,t09,10,8,10,8,11,1,True,0,0,0,1
random_13,12,t17,11,9,11,9,12,1,True,1,1,1,0
random_13,13,t03,12,10,12,9,13,1,True,1,1,1,0
random_13,14,t08,13,10,13,9,14,1,True,1,0,1,0
random_13,15,t07,13,10,13,9,15,2,True,0,0,0,1
random_13,16,t14,14,10,14,9,16,2,True,1,0,1,0
random_13,17,t19,14,10,14,9,17,3,True,0,0,0,1
random_13,18,t01,14,10,14,9,18,4,True,0,0,0,1
random_13,19,t20,14,10,14,9,19,5,True,0,0,0,1
random_13,20,t16,14,10,14,9,20,6,True,0,0,0,1
random_13,21,t13,14,10,14,9,21,7,True,0,0,0,1
random_13,22,t02,14,10,14,9,22,8,True,0,0,0,1
random_13,23,t18,14,10,14,9,23,9,True,0,0,0,1
random_14,1,t10,1,1,1,1,1,0,True,1,1,1,0
random_14,2,t15,2,2,2,2,2,0,True,1,1,1,0
random_14,3,t20,3,2,3,3,3,0,True,1,0,1,0
random_14,4,t16,4,2,4,4,4,0,True,1,0,1,0
random_14,5,t12,5,3,5,5,5,0,True,1,1,1,0
random_14,6,t13,6,4,6,6,6,0,True,1,1,1,0
random_14,7,t19,7,5,7,6,7,0,True,1,1,1,0
random_14,8,t04,8,6,8,7,8,0,True,1,1,1,0
random_14,9,t23,8,6,8,7,9,1,True,0,0,0,1
random_14,10,t08,9,7,9,8,10,1,True,1,1,1,0
random_14,11,t11,10,7,10,8,11,1,True,1,0,1,0
random_14,12,t17,11,8,11,8,12,1,True,1,1,1,0
random_14,13,t05,11,8,11,8,13,2,True,0,0,0,1
random_14,14,t22,12,8,12,8,14,2,True,1,0,1,0
random_14,15,t06,13,9,13,9,15,2,True,1,1,1,0
random_14,16,t02,14,10,14,9,16,2,True,1,1,1,0
random_14,17,t03,14,10,14,9,17,3,True,0,0,0,1
random_14,18,t21,14,10,14,9,18,4,True,0,0,0,1
random_14,19,t07,14,10,14,9,19,5,True,0,0,0,1
random_14,20,t01,14,10,14,9,20,6,True,0,0,0,1
random_14,21,t18,14,10,14,9,21,7,True,0,0,0,1
random_14,22,t14,14,10,14,9,22,8,True,0,0,0,1
random_14,23,t09,14,10,14,9,23,9,True,0,0,0,1
random_15,1,t13,1,1,1,1,1,0,True,1,1,1,0
random_15,2,t10,2,2,2,2,2,0,True,1,1,1,0
random_15,3,t18,3,2,3,3,3,0,True,1,0,1,0
random_15,4,t17,4,3,4,4,4,0,True,1,1,1,0
random_15,5,t09,5,3,5,5,5,0,True,1,0,1,0
random_15,6,t15,6,4,6,6,6,0,True,1,1,1,0
random_15,7,t07,7,5,7,7,7,0,True,1,1,1,0
random_15,8,t21,8,6,8,7,8,0,True,1,1,1,0
random_15,9,t08,9,7,9,7,9,0,True,1,1,1,0
random_15,10,t12,10,7,10,7,10,0,True,1,0,1,0
random_15,11,t06,11,8,11,8,11,0,True,1,1,1,0
random_15,12,t11,11,8,11,8,12,1,True,0,0,0,1
random_15,13,t23,11,8,11,8,13,2,True,0,0,0,1
random_15,14,t20,12,8,12,8,14,2,True,1,0,1,0
random_15,15,t16,12,8,12,8,15,3,True,0,0,0,1
random_15,16,t05,13,9,13,9,16,3,True,1,1,1,0
random_15,17,t19,13,9,13,9,17,4,True,0,0,0,1
random_15,18,t04,13,9,13,9,18,5,True,0,0,0,1
random_15,19,t03,14,10,14,9,19,5,True,1,1,1,0
random_15,20,t14,14,10,14,9,20,6,True,0,0,0,1
random_15,21,t22,14,10,14,9,21,7,True,0,0,0,1
random_15,22,t02,14,10,14,9,22,8,True,0,0,0,1
random_15,23,t01,14,10,14,9,23,9,True,0,0,0,1
random_16,1,t13,1,1,1,1,1,0,True,1,1,1,0
random_16,2,t15,2,2,2,2,2,0,True,1,1,1,0
random_16,3,t08,3,3,3,3,3,0,True,1,1,1,0
random_16,4,t18,4,3,4,4,4,0,True,1,0,1,0
random_16,5,t04,5,4,5,5,5,0,True,1,1,1,0
random_16,6,t07,6,5,6,6,6,0,True,1,1,1,0
random_16,7,t05,7,6,7,7,7,0,True,1,1,1,0
random_16,8,t23,8,7,8,7,8,0,True,1,1,1,0
random_16,9,t14,9,8,9,8,9,0,True,1,1,1,0
random_16,10,t20,10,8,10,8,10,0,True,1,0,1,0
random_16,11,t01,11,9,11,9,11,0,True,1,1,1,0
random_16,12,t21,12,9,12,9,12,0,True,1,0,1,0
random_16,13,t02,12,9,12,9,13,1,True,0,0,0,1
random_16,14,t22,12,9,12,9,14,2,True,0,0,0,1
random_16,15,t10,12,9,12,9,15,3,True,0,0,0,1
random_16,16,t17,12,9,12,9,16,4,True,0,0,0,1
random_16,17,t16,12,9,12,9,17,5,True,0,0,0,1
random_16,18,t09,13,9,13,9,18,5,True,1,0,1,0
