removed_term_id,epsilon,fixed_scale,als_iterations,als_loss,als_max_abs,ls_nfev,final_loss,final_max_abs,success_lt_1e_10,success_lt_1e_15
t04,1.0,0.0,153,1.0000000527895927,0.5868669458836632,200,1.0000000137274487,0.5868620043527544,False,False
t05,0.01,0.99,153,1.798299066906839e-05,0.0009497305606534367,200,1.5573321737845094e-05,0.0008515321851905091,False,False
t05,0.05,0.95,153,0.000416399476459359,0.004394004317450657,200,0.0003931748432352581,0.004003293590944266,False,False
t05,0.1,0.9,153,0.0017221810735409354,0.008478541838756909,200,0.0017156502861686402,0.008440251076080263,False,False
t05,0.2,0.8,153,0.008321752985474098,0.019583817283562482,200,0.0082698626962941,0.019654211430479296,False,False
t05,0.3,0.7,153,0.0228779643664075,0.03457684100651709,200,0.022599050724015565,0.034579977587304245,False,False
t05,0.4,0.6,153,0.050097727770514036,0.05499923000187956,200,0.03229494795986583,0.043291214899127274,False,False
t05,0.5,0.5,153,0.03644223998578327,0.041357309947859494,200,0.027908840013976546,0.028021658639593213,False,False
t05,0.6,0.4,153,0.012351270597410502,0.018724207614548967,200,0.01096137658756207,0.021393074866864627,False,False
t05,0.7,0.30000000000000004,153,0.008443778126277095,0.016196118750496737,200,0.008304723346531019,0.016294614831888227,False,False
t05,0.8,0.19999999999999996,153,0.008084900409497615,0.014124296157323357,200,0.007971591281348684,0.014356569157750076,False,False
t05,0.9,0.09999999999999998,153,0.009669694646444953,0.015557698138771614,200,0.00947149755250493,0.015582456849500215,False,False
t05,0.99,0.010000000000000009,153,0.019089968275805738,0.021681917951259067,200,0.018686860030710933,0.021804318864422356,False,False
t05,1.0,0.0,153,0.01955271783514774,0.022428288831438437,200,0.01940947036206539,0.022609812525999473,False,False
t06,0.01,0.99,153,3.67441052544699e-05,0.002909661477270604,200,2.6615610295351295e-05,0.0026598618482120973,False,False
t06,0.05,0.95,153,0.000705018329526155,0.014098539966532563,200,0.0006743405594271956,0.01347989669794536,False,False
t06,0.1,0.9,153,0.002911058355927668,0.029070822878183494,200,0.0029095136361265463,0.02903502983411954,False,False
t06,0.2,0.8,153,0.013578160728473884,0.06736765941768466,200,0.013575777848295448,0.067267320472016,False,False
t06,0.3,0.7,153,0.03565332246073426,0.11629818581497181,54,0.03565278157581844,0.11624736178448325,False,False
t06,0.4,0.6,153,0.07386448328372039,0.17709060684753608,39,0.07386425355027924,0.17705842191600407,False,False
t06,0.5,0.5,153,0.13397469703029424,0.2500204721260509,38,0.13397459621572883,0.2500000024419301,False,False
t06,0.6,0.4,153,0.22257621763128135,0.3344245094764669,46,0.22257616903353356,0.33441236255798523,False,False
t06,0.7,0.30000000000000004,153,0.3467083657178738,0.4287615670094987,59,0.3467083349611729,0.42875615580797244,False,False
t06,0.8,0.19999999999999996,153,0.5133939674949177,0.5309307524097946,64,0.5133939444058087,0.5309307213589616,False,False
t06,0.9,0.09999999999999998,153,0.7292121743646074,0.6386859614409504,54,0.7292121597240544,0.6386912484714949,False,False
t06,0.99,0.010000000000000009,153,0.9702992609815522,0.7387127245398379,200,0.9702992463309833,0.738757696583125,False,False
t06,1.0,0.0,153,1.0000000000446272,0.7496830878184685,116,1.0000000000017115,0.7496829136665135,False,False
