action_id,pi_rA,pi_shared,pi_cB,alpha_cycle_lengths,beta_cycle_lengths,fixed_projective_alpha_lines,fixed_projective_beta_lines,fixed_profile_classes,provenance
106,"(1, 0, 2)","(2, 1, 0)","(2, 0, 1)","[2, 2, 2, 2, 1]","[6, 3]",161,5,805,EXACT_DERIVED
107,"(1, 0, 2)","(2, 1, 0)","(2, 1, 0)","[2, 2, 2, 2, 1]","[2, 2, 2, 2, 1]",161,161,25921,EXACT_DERIVED
108,"(1, 2, 0)","(0, 1, 2)","(0, 1, 2)","[3, 3, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",13,9841,127933,EXACT_DERIVED
109,"(1, 2, 0)","(0, 1, 2)","(0, 2, 1)","[3, 3, 3]","[1, 2, 1, 2, 1, 2]",13,377,4901,EXACT_DERIVED
110,"(1, 2, 0)","(0, 1, 2)","(1, 0, 2)","[3, 3, 3]","[2, 1, 2, 1, 2, 1]",13,377,4901,EXACT_DERIVED
111,"(1, 2, 0)","(0, 1, 2)","(1, 2, 0)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
112,"(1, 2, 0)","(0, 1, 2)","(2, 0, 1)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
113,"(1, 2, 0)","(0, 1, 2)","(2, 1, 0)","[3, 3, 3]","[2, 1, 2, 1, 2, 1]",13,377,4901,EXACT_DERIVED
114,"(1, 2, 0)","(0, 2, 1)","(0, 1, 2)","[3, 6]","[1, 1, 1, 2, 2, 2]",5,377,1885,EXACT_DERIVED
115,"(1, 2, 0)","(0, 2, 1)","(0, 2, 1)","[3, 6]","[1, 2, 2, 2, 2]",5,161,805,EXACT_DERIVED
116,"(1, 2, 0)","(0, 2, 1)","(1, 0, 2)","[3, 6]","[2, 1, 2, 2, 2]",5,161,805,EXACT_DERIVED
117,"(1, 2, 0)","(0, 2, 1)","(1, 2, 0)","[3, 6]","[3, 6]",5,5,25,EXACT_DERIVED
118,"(1, 2, 0)","(0, 2, 1)","(2, 0, 1)","[3, 6]","[3, 6]",5,5,25,EXACT_DERIVED
119,"(1, 2, 0)","(0, 2, 1)","(2, 1, 0)","[3, 6]","[2, 1, 2, 2, 2]",5,161,805,EXACT_DERIVED
120,"(1, 2, 0)","(1, 0, 2)","(0, 1, 2)","[6, 3]","[2, 2, 2, 1, 1, 1]",5,377,1885,EXACT_DERIVED
121,"(1, 2, 0)","(1, 0, 2)","(0, 2, 1)","[6, 3]","[2, 2, 2, 1, 2]",5,161,805,EXACT_DERIVED
122,"(1, 2, 0)","(1, 0, 2)","(1, 0, 2)","[6, 3]","[2, 2, 2, 2, 1]",5,161,805,EXACT_DERIVED
123,"(1, 2, 0)","(1, 0, 2)","(1, 2, 0)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
124,"(1, 2, 0)","(1, 0, 2)","(2, 0, 1)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
125,"(1, 2, 0)","(1, 0, 2)","(2, 1, 0)","[6, 3]","[2, 2, 2, 2, 1]",5,161,805,EXACT_DERIVED
126,"(1, 2, 0)","(1, 2, 0)","(0, 1, 2)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
127,"(1, 2, 0)","(1, 2, 0)","(0, 2, 1)","[3, 3, 3]","[3, 6]",13,5,65,EXACT_DERIVED
128,"(1, 2, 0)","(1, 2, 0)","(1, 0, 2)","[3, 3, 3]","[6, 3]",13,5,65,EXACT_DERIVED
129,"(1, 2, 0)","(1, 2, 0)","(1, 2, 0)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
130,"(1, 2, 0)","(1, 2, 0)","(2, 0, 1)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
131,"(1, 2, 0)","(1, 2, 0)","(2, 1, 0)","[3, 3, 3]","[6, 3]",13,5,65,EXACT_DERIVED
132,"(1, 2, 0)","(2, 0, 1)","(0, 1, 2)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
133,"(1, 2, 0)","(2, 0, 1)","(0, 2, 1)","[3, 3, 3]","[3, 6]",13,5,65,EXACT_DERIVED
134,"(1, 2, 0)","(2, 0, 1)","(1, 0, 2)","[3, 3, 3]","[6, 3]",13,5,65,EXACT_DERIVED
135,"(1, 2, 0)","(2, 0, 1)","(1, 2, 0)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
136,"(1, 2, 0)","(2, 0, 1)","(2, 0, 1)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
137,"(1, 2, 0)","(2, 0, 1)","(2, 1, 0)","[3, 3, 3]","[6, 3]",13,5,65,EXACT_DERIVED
