orbit_A,orbit_B,compatible,total_pairs,output_orbits,deterministic,stab_type_A,stab_type_B,stab_type_out,output_counts
5,1010,False,0,[],False,Z2xZ2,Z2,[],{}
5,1025,False,0,[],False,Z2xZ2,Z2,[],{}
5,1031,False,0,[],False,Z2xZ2,Trivial,[],{}
5,1040,False,0,[],False,Z2xZ2,Z2,[],{}
5,1055,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,1057,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,1059,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,1100,False,0,[],False,Z2xZ2,Z2,[],{}
5,1130,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,1132,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,1134,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,1175,False,0,[],False,Z2xZ2,Z2,[],{}
6,0,False,0,[],False,Z2xZ2,(Z2)^3,[],{}
6,1,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,2,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,4,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,5,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,6,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,10,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,20,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,30,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,34,False,0,[],False,Z2xZ2,Z2,[],{}
6,40,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,50,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,52,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,54,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,95,False,0,[],False,Z2xZ2,Z2,[],{}
6,125,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,126,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,127,True,54,[1],True,Z2xZ2,Z2xZ2,['Z2xZ2'],{1: 54}
6,131,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,132,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,133,True,54,[6],True,Z2xZ2,Z2xZ2,['Z2xZ2'],{6: 54}
6,137,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,138,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
6,139,True,54,[5],True,Z2xZ2,Z2xZ2,['Z2xZ2'],{5: 54}
6,143,False,0,[],False,Z2xZ2,Z2,[],{}
6,161,False,0,[],False,Z2xZ2,Z2,[],{}
