search_family,removed_term,covered_output_columns,exact,provenance,field,rank_tested,restart
,,0,False,MEASURED_FROM_CODE,GF(3),22,105
,,0,False,MEASURED_FROM_CODE,GF(3),22,106
,,0,False,MEASURED_FROM_CODE,GF(3),22,107
,,0,False,MEASURED_FROM_CODE,GF(3),22,108
,,0,False,MEASURED_FROM_CODE,GF(3),22,109
,,0,False,MEASURED_FROM_CODE,GF(3),22,110
,,0,False,MEASURED_FROM_CODE,GF(3),22,111
,,0,False,MEASURED_FROM_CODE,GF(3),22,112
,,0,False,MEASURED_FROM_CODE,GF(3),22,113
,,0,False,MEASURED_FROM_CODE,GF(3),22,114
,,0,False,MEASURED_FROM_CODE,GF(3),22,115
,,0,False,MEASURED_FROM_CODE,GF(3),22,116
,,0,False,MEASURED_FROM_CODE,GF(3),22,117
,,0,False,MEASURED_FROM_CODE,GF(3),22,118
,,0,False,MEASURED_FROM_CODE,GF(3),22,119
,,0,False,MEASURED_FROM_CODE,GF(3),22,120
,,0,False,MEASURED_FROM_CODE,GF(3),22,121
,,0,False,MEASURED_FROM_CODE,GF(3),22,122
,,0,False,MEASURED_FROM_CODE,GF(3),22,123
,,0,False,MEASURED_FROM_CODE,GF(3),22,124
,,0,False,MEASURED_FROM_CODE,GF(3),22,125
,,0,False,MEASURED_FROM_CODE,GF(3),22,126
,,0,False,MEASURED_FROM_CODE,GF(3),22,127
,,0,False,MEASURED_FROM_CODE,GF(3),22,128
,,0,False,MEASURED_FROM_CODE,GF(3),22,129
,,0,False,MEASURED_FROM_CODE,GF(3),22,130
,,0,False,MEASURED_FROM_CODE,GF(3),22,131
,,0,False,MEASURED_FROM_CODE,GF(3),22,132
,,0,False,MEASURED_FROM_CODE,GF(3),22,133
,,0,False,MEASURED_FROM_CODE,GF(3),22,134
,,0,False,MEASURED_FROM_CODE,GF(3),22,135
,,0,False,MEASURED_FROM_CODE,GF(3),22,136
,,0,False,MEASURED_FROM_CODE,GF(3),22,137
,,0,False,MEASURED_FROM_CODE,GF(3),22,138
,,0,False,MEASURED_FROM_CODE,GF(3),22,139
,,0,False,MEASURED_FROM_CODE,GF(3),22,140
,,0,False,MEASURED_FROM_CODE,GF(3),22,141
,,0,False,MEASURED_FROM_CODE,GF(3),22,142
,,0,False,MEASURED_FROM_CODE,GF(3),22,143
,,0,False,MEASURED_FROM_CODE,GF(3),22,144
,,0,False,MEASURED_FROM_CODE,GF(3),22,145
,,0,False,MEASURED_FROM_CODE,GF(3),22,146
,,0,False,MEASURED_FROM_CODE,GF(3),22,147
