R,partition_type,ordered_assignments,symmetry_assignment_orbits,within_fiber_pairs,spreading_deficit_to_27,zero_fibers,max_group_size,no_spreading_filter_pass,exact3_tiling_candidate,exact3_tiling_surviving_assignment_orbits,example_surviving_assignment,example_shape_witness,provenance
11,"(3,2,2,2,2,0,0,0,0)",630,22,7,20,4,3,False,True,22,"(3,2,2,2,2,0,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/2: 2x1:1; 2x3:1 | f[1,1]/2: 2x3:1; 3x2:1",EXACT_DERIVED
11,"(3,3,1,1,1,1,1,0,0)",756,28,6,21,2,3,False,True,28,"(3,3,1,1,1,1,1,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/3: 1x1:2; 1x2:1 | f[0,2]/1: 1x1:1 | f[1,0]/1: 2x2:1 | f[1,1]/1: 2x3:1 | f[1,2]/1: 3x1:1 | f[2,0]/1: 2x3:1",EXACT_DERIVED
11,"(3,3,2,1,1,1,0,0,0)",5040,146,7,20,3,3,False,True,146,"(3,3,2,1,1,1,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/3: 1x1:2; 1x2:1 | f[0,2]/2: 1x1:2 | f[1,0]/1: 2x3:1 | f[1,1]/1: 2x3:1 | f[1,2]/1: 2x3:1",EXACT_DERIVED
11,"(3,3,2,2,1,0,0,0,0)",3780,114,8,19,4,3,False,True,114,"(3,3,2,2,1,0,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/3: 1x1:2; 1x2:1 | f[0,2]/2: 1x1:2 | f[1,0]/2: 2x3:2 | f[1,1]/1: 2x3:1",EXACT_DERIVED
11,"(3,3,3,1,1,0,0,0,0)",1260,43,9,18,4,3,False,True,43,"(3,3,3,1,1,0,0,0,0)","f[0,0]/3: 1x1:1; 2x1:2 | f[0,1]/3: 1x1:1; 2x1:2 | f[0,2]/3: 1x1:1; 2x1:2 | f[1,0]/1: 2x3:1 | f[1,1]/1: 2x3:1",EXACT_DERIVED
11,"(3,3,3,2,0,0,0,0,0)",504,17,10,17,5,3,False,True,17,"(3,3,3,2,0,0,0,0,0)","f[0,0]/3: 1x1:1; 2x1:2 | f[0,1]/3: 1x1:1; 2x1:2 | f[0,2]/3: 1x1:1; 2x1:2 | f[1,0]/2: 2x3:2",EXACT_DERIVED
11,"(4,1,1,1,1,1,1,1,0)",72,3,6,21,1,4,False,False,0,,,EXACT_DERIVED
11,"(4,2,1,1,1,1,1,0,0)",1512,45,7,20,2,4,False,False,0,,,EXACT_DERIVED
11,"(4,2,2,1,1,1,0,0,0)",5040,146,8,19,3,4,False,False,0,,,EXACT_DERIVED
11,"(4,2,2,2,1,0,0,0,0)",2520,73,9,18,4,4,False,False,0,,,EXACT_DERIVED
11,"(4,3,1,1,1,1,0,0,0)",2520,73,9,18,3,4,False,False,0,,,EXACT_DERIVED
11,"(4,3,2,1,1,0,0,0,0)",7560,213,10,17,4,4,False,False,0,,,EXACT_DERIVED
11,"(4,3,2,2,0,0,0,0,0)",1512,45,11,16,5,4,False,False,0,,,EXACT_DERIVED
11,"(4,3,3,1,0,0,0,0,0)",1512,45,12,15,5,4,False,False,0,,,EXACT_DERIVED
11,"(4,4,1,1,1,0,0,0,0)",1260,43,12,15,4,4,False,False,0,,,EXACT_DERIVED
11,"(4,4,2,1,0,0,0,0,0)",1512,45,13,14,5,4,False,False,0,,,EXACT_DERIVED
11,"(4,4,3,0,0,0,0,0,0)",252,10,15,12,6,4,False,False,0,,,EXACT_DERIVED
11,"(5,1,1,1,1,1,1,0,0)",252,10,10,17,2,5,False,False,0,,,EXACT_DERIVED
11,"(5,2,1,1,1,1,0,0,0)",2520,73,11,16,3,5,False,False,0,,,EXACT_DERIVED
11,"(5,2,2,1,1,0,0,0,0)",3780,114,12,15,4,5,False,False,0,,,EXACT_DERIVED
11,"(5,2,2,2,0,0,0,0,0)",504,17,13,14,5,5,False,False,0,,,EXACT_DERIVED
11,"(5,3,1,1,1,0,0,0,0)",2520,73,13,14,4,5,False,False,0,,,EXACT_DERIVED
11,"(5,3,2,1,0,0,0,0,0)",3024,84,14,13,5,5,False,False,0,,,EXACT_DERIVED
11,"(5,3,3,0,0,0,0,0,0)",252,10,16,11,6,5,False,False,0,,,EXACT_DERIVED
11,"(5,4,1,1,0,0,0,0,0)",1512,45,16,11,5,5,False,False,0,,,EXACT_DERIVED
11,"(5,4,2,0,0,0,0,0,0)",504,15,17,10,6,5,False,False,0,,,EXACT_DERIVED
11,"(5,5,1,0,0,0,0,0,0)",252,10,20,7,6,5,False,False,0,,,EXACT_DERIVED
11,"(6,1,1,1,1,1,0,0,0)",504,17,15,12,3,6,False,False,0,,,EXACT_DERIVED
11,"(6,2,1,1,1,0,0,0,0)",2520,73,16,11,4,6,False,False,0,,,EXACT_DERIVED
11,"(6,2,2,1,0,0,0,0,0)",1512,45,17,10,5,6,False,False,0,,,EXACT_DERIVED
11,"(6,3,1,1,0,0,0,0,0)",1512,45,18,9,5,6,False,False,0,,,EXACT_DERIVED
11,"(6,3,2,0,0,0,0,0,0)",504,15,19,8,6,6,False,False,0,,,EXACT_DERIVED
11,"(6,4,1,0,0,0,0,0,0)",504,15,21,6,6,6,False,False,0,,,EXACT_DERIVED
11,"(6,5,0,0,0,0,0,0,0)",72,3,25,2,7,6,False,False,0,,,EXACT_DERIVED
11,"(7,1,1,1,1,0,0,0,0)",630,22,21,6,4,7,False,False,0,,,EXACT_DERIVED
11,"(7,2,1,1,0,0,0,0,0)",1512,45,22,5,5,7,False,False,0,,,EXACT_DERIVED
11,"(7,2,2,0,0,0,0,0,0)",252,10,23,4,6,7,False,False,0,,,EXACT_DERIVED
11,"(7,3,1,0,0,0,0,0,0)",504,15,24,3,6,7,False,False,0,,,EXACT_DERIVED
11,"(7,4,0,0,0,0,0,0,0)",72,3,27,0,7,7,True,False,0,,,EXACT_DERIVED
11,"(8,1,1,1,0,0,0,0,0)",504,17,28,0,5,8,True,False,0,,,EXACT_DERIVED
11,"(8,2,1,0,0,0,0,0,0)",504,15,29,0,6,8,True,False,0,,,EXACT_DERIVED
11,"(8,3,0,0,0,0,0,0,0)",72,3,31,0,7,8,True,False,0,,,EXACT_DERIVED
11,"(9,1,1,0,0,0,0,0,0)",252,10,36,0,6,9,True,False,0,,,EXACT_DERIVED
11,"(9,2,0,0,0,0,0,0,0)",72,3,37,0,7,9,True,False,0,,,EXACT_DERIVED
12,"(10,1,1,0,0,0,0,0,0)",252,10,45,0,6,10,True,False,0,,,EXACT_DERIVED
12,"(10,2,0,0,0,0,0,0,0)",72,3,46,0,7,10,True,False,0,,,EXACT_DERIVED
12,"(11,1,0,0,0,0,0,0,0)",72,3,55,0,7,11,True,False,0,,,EXACT_DERIVED
12,"(12,0,0,0,0,0,0,0,0)",9,1,66,0,8,12,True,False,0,,,EXACT_DERIVED
12,"(2,2,2,1,1,1,1,1,1)",84,6,3,24,0,2,False,True,6,"(2,2,2,1,1,1,1,1,1)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/1: 1x1:1 | f[1,1]/1: 1x1:1 | f[1,2]/1: 1x1:1 | f[2,0]/1: 1x3:1 | f[2,1]/1: 2x3:1 | f[2,2]/1: 3x3:1",EXACT_DERIVED
12,"(2,2,2,2,1,1,1,1,0)",630,22,4,23,1,2,False,True,22,"(2,2,2,2,1,1,1,1,0)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/2: 1x1:1; 2x1:1 | f[1,1]/1: 1x2:1 | f[1,2]/1: 2x2:1 | f[2,0]/1: 1x3:1 | f[2,1]/1: 3x3:1",EXACT_DERIVED
12,"(2,2,2,2,2,1,1,0,0)",756,28,5,22,2,2,False,True,28,"(2,2,2,2,2,1,1,0,0)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/2: 1x1:1; 2x1:1 | f[1,1]/2: 1x2:1; 2x2:1 | f[1,2]/1: 2x3:1 | f[2,0]/1: 2x3:1",EXACT_DERIVED
12,"(2,2,2,2,2,2,0,0,0)",84,6,6,21,3,2,False,True,6,"(2,2,2,2,2,2,0,0,0)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/2: 2x1:2 | f[1,1]/2: 2x1:1; 2x2:1 | f[1,2]/2: 2x1:1; 3x3:1",EXACT_DERIVED
12,"(3,2,1,1,1,1,1,1,1)",72,3,4,23,0,3,False,True,3,"(3,2,1,1,1,1,1,1,1)","f[0,0]/3: 1x1:3 | f[0,1]/2: 1x1:2 | f[0,2]/1: 1x1:1 | f[1,0]/1: 1x1:1 | f[1,1]/1: 2x2:1 | f[1,2]/1: 2x1:1 | f[2,0]/1: 1x2:1 | f[2,1]/1: 2x3:1 | f[2,2]/1: 3x2:1",EXACT_DERIVED
12,"(3,2,2,1,1,1,1,1,0)",1512,45,5,22,1,3,False,True,45,"(3,2,2,1,1,1,1,1,0)","f[0,0]/3: 1x1:3 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/1: 1x1:1 | f[1,1]/1: 2x2:1 | f[1,2]/1: 2x3:1 | f[2,0]/1: 1x3:1 | f[2,1]/1: 2x3:1",EXACT_DERIVED
