case_id,track,seed,support_signature,nnz_alpha,nnz_beta,nnz_gamma,status,viable,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_full_tensor_max_abs_residual,start_full_tensor_fro_residual,independent_variable_rank,dropped_variable_count,fixed_gauge_count,gamma_union_size,alpha_union_size,beta_union_size,full_gamma_coverage,unique_gamma_support_count,error
step83b_track2_screen_0772,track2_screen,8302772,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,95.7181097204996,10.17649096493841,61.95044076093987,152,0,38,9,9,9,True,19,
step83b_track2_screen_0773,track2_screen,8302773,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,208.97388108777707,12.049141291001646,73.87432838194674,190,0,38,9,9,9,True,17,
step83b_track2_screen_0774,track2_screen,8302774,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,81.10446226664244,9.990579785550782,59.00898625350684,152,0,38,9,9,9,True,13,
step83b_track2_screen_0775,track2_screen,8302775,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,69.03022290756435,10.422431185461527,51.1324515552166,133,0,38,9,9,9,True,17,
step83b_track2_screen_0776,track2_screen,8302776,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,140.41275412769696,8.341894026293405,62.23796739339675,171,0,38,9,9,9,True,14,
step83b_track2_screen_0777,track2_screen,8302777,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,76.41901291512826,11.848702837698747,62.01754267606789,152,0,38,9,9,9,True,18,
step83b_track2_screen_0778,track2_screen,8302778,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,87.42846941348475,11.565824757470327,68.36701952910346,152,0,38,9,9,9,True,16,
step83b_track2_screen_0779,track2_screen,8302779,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,129.04307356038143,13.532638894847338,81.05674268802922,190,0,38,9,9,9,True,18,
step83b_track2_screen_0780,track2_screen,8302780,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,113.00211076624072,11.353402205199288,55.238240987197514,152,0,38,9,9,9,True,15,
step83b_track2_screen_0781,track2_screen,8302781,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,86.8725462411694,7.891574223700388,46.76852743487157,133,0,38,9,9,9,True,17,
step83b_track2_screen_0782,track2_screen,8302782,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,167.90789204602126,10.470048462127536,71.23919392603082,171,0,38,9,9,9,True,19,
step83b_track2_screen_0783,track2_screen,8302783,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,80.16327779724158,12.46704899749021,68.95455980398225,152,0,38,9,9,9,True,18,
step83b_track2_screen_0784,track2_screen,8302784,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,77.18706989147923,12.249824500410389,55.33822597844948,152,0,38,9,9,9,True,17,
step83b_track2_screen_0785,track2_screen,8302785,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,173.15840837292413,15.44905034948346,80.8440046850253,190,0,38,9,9,9,True,14,
step83b_track2_screen_0786,track2_screen,8302786,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,84.62477925580995,8.33608270262144,55.12504625691988,152,0,38,9,9,9,True,15,
step83b_track2_screen_0787,track2_screen,8302787,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,57.039423279947634,9.980069249407372,53.129812550498045,133,0,38,9,9,9,True,18,
step83b_track2_screen_0788,track2_screen,8302788,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,139.95374577497066,12.268545177252676,70.39451144534947,171,0,38,9,9,9,True,19,
step83b_track2_screen_0789,track2_screen,8302789,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,92.52691252490987,12.08012918973341,60.524372213064616,152,0,38,9,9,9,True,16,
step83b_track2_screen_0790,track2_screen,8302790,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,92.85703469944441,9.765132776885533,56.922145651977296,152,0,38,9,9,9,True,15,
step83b_track2_screen_0791,track2_screen,8302791,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,143.75092668428155,11.318085635391299,76.9701097188592,190,0,38,9,9,9,True,18,
step83b_track2_screen_0792,track2_screen,8302792,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,110.7413658454526,8.17385727191072,61.31614311538172,152,0,38,9,9,9,True,14,
