piece_id,rank_tested,seed,verified_loss,best_max_abs_residual,provenance
L_tromino_class_01,8,1142454,2.5674036887017027e-03,2.0677105674885655e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1143856,3.4795435557941328e-03,1.9813538136627260e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1144557,2.7345201665315922e-03,2.1366540288089274e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1145258,5.0775904908004679e-03,2.3615916271302349e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1145959,4.9353329470512913e-03,2.4869642251840424e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1146660,1.0000000000076330e+00,5.2432756411227111e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1147361,1.0000000000067637e+00,6.6949660248542120e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1148062,3.2037053751102010e-03,2.1860715646015869e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1149464,5.2727190438456410e-03,2.2041837674235443e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1150165,7.4025094501238252e-03,3.0164657366130505e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1150866,3.8316011074471679e-03,1.7340414313619365e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1151567,6.1474928049102436e-03,2.6877295535979995e-02,MEASURED_FROM_CODE
L_tetromino_class_01,9,902686,3.0000000000000075e+00,8.0214833137801089e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,906191,3.0000000000000022e+00,7.3950426100336952e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,901985,2.1193461381210548e+00,9.8789995968618893e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,910397,3.0000000000000004e+00,9.9003643718939172e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,903387,2.0032427015671912e+00,6.5816467982823434e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,904088,2.0030135018740474e+00,5.1240227164669250e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,904789,2.0058751669161738e+00,5.0170481298083724e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,905490,1.0840569537513431e+00,3.8043750401529663e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,906892,2.0032205228019553e+00,6.9934842463877644e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,907593,1.1135407810159477e+00,5.9915920489159746e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,908995,2.0045286402765252e+00,5.7608785634846604e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,909696,1.0055975413019544e+00,6.7750628183615802e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,908294,2.0033427668233212e+00,6.8902543383513370e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,911098,1.3908730101884912e+00,5.9724582876051036e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,920912,3.0000000000000004e+00,8.5220127123471889e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,912500,1.0150118298045891e+00,8.0866898127809017e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,911799,1.0047856603942080e+00,7.0929027308114334e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,913201,1.0581925795374072e+00,7.6406465435030002e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,923716,3.0000000000000009e+00,9.9119095988303652e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,913902,1.0140193180125086e+00,4.5967198452681524e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,914603,2.0049438810453086e+00,7.2106035717803385e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,915304,1.0457574373483167e+00,4.2836569925200907e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,917407,1.0227153681702259e+00,6.5896348829087770e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,916005,1.0136060990892650e+00,7.7962121793130823e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,916706,1.0102868902653379e+00,3.9036177587909016e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,918108,2.0059636158343133e+00,6.6824824478648015e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,918809,2.0041887887111911e+00,8.8782982856131731e-01,MEASURED_FROM_CODE
L_tetromino_class_01,9,919510,2.0041512037312974e+00,5.3429482838738374e-01,MEASURED_FROM_CODE
