closure_step,A_orbit,B_orbit,A_stab_type,B_stab_type,total_pairs,output_inside_set,output_outside_set,output_orbit_ids,output_counts
1,5,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,10,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,20,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,34,Z2xZ2,Z2,0,0,0,[],{}
1,5,40,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,95,Z2xZ2,Z2,0,0,0,[],{}
1,5,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,126,Z2xZ2,Z2xZ2,54,54,0,[1],{1: 54}
1,5,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,132,Z2xZ2,Z2xZ2,54,54,0,[5],{5: 54}
1,5,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,138,Z2xZ2,Z2xZ2,54,54,0,[6],{6: 54}
1,5,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,143,Z2xZ2,Z2,0,0,0,[],{}
1,5,161,Z2xZ2,Z2,0,0,0,[],{}
1,5,179,Z2xZ2,Z2,0,0,0,[],{}
1,5,197,Z2xZ2,Z2,0,0,0,[],{}
1,5,215,Z2xZ2,Z2,0,0,0,[],{}
1,5,350,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,354,Z2xZ2,Z2,0,0,0,[],{}
1,5,360,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,370,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,380,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,390,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,394,Z2xZ2,Z2,0,0,0,[],{}
1,5,400,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,410,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,420,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,430,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,434,Z2xZ2,Z2,0,0,0,[],{}
1,5,440,Z2xZ2,Z2,0,0,0,[],{}
1,5,500,Z2xZ2,Z2,0,0,0,[],{}
1,5,560,Z2xZ2,Z2,0,0,0,[],{}
1,5,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,986,Z2xZ2,Z2,0,0,0,[],{}
1,5,995,Z2xZ2,Z2,0,0,0,[],{}
1,5,1010,Z2xZ2,Z2,0,0,0,[],{}
1,5,1025,Z2xZ2,Z2,0,0,0,[],{}
1,5,1040,Z2xZ2,Z2,0,0,0,[],{}
1,5,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
