raw_tuple_id,raw_tuple,in_CX,cx_config_id,cx_readable,in_XC,xc_config_id,xc_readable,in_AX,ax_config_id,ax_readable,in_BX,bx_config_id,bx_readable
64,"(0,7,1)",1,64,"CX[C[0,0],X[2,1|0,1]]",1,64,"XC[X[0,0|2,1],C[0,1]]",1,64,"AX[A[0,0],X[2,1|0,1]]",1,64,"BX[B[0,0],X[2,1|0,1]]"
65,"(0,7,2)",1,65,"CX[C[0,0],X[2,1|0,2]]",1,65,"XC[X[0,0|2,1],C[0,2]]",1,65,"AX[A[0,0],X[2,1|0,2]]",1,65,"BX[B[0,0],X[2,1|0,2]]"
66,"(0,7,3)",1,66,"CX[C[0,0],X[2,1|1,0]]",1,66,"XC[X[0,0|2,1],C[1,0]]",1,66,"AX[A[0,0],X[2,1|1,0]]",1,66,"BX[B[0,0],X[2,1|1,0]]"
67,"(0,7,4)",1,67,"CX[C[0,0],X[2,1|1,1]]",1,67,"XC[X[0,0|2,1],C[1,1]]",1,67,"AX[A[0,0],X[2,1|1,1]]",1,67,"BX[B[0,0],X[2,1|1,1]]"
68,"(0,7,5)",1,68,"CX[C[0,0],X[2,1|1,2]]",1,68,"XC[X[0,0|2,1],C[1,2]]",1,68,"AX[A[0,0],X[2,1|1,2]]",1,68,"BX[B[0,0],X[2,1|1,2]]"
69,"(0,7,6)",1,69,"CX[C[0,0],X[2,1|2,0]]",1,69,"XC[X[0,0|2,1],C[2,0]]",1,69,"AX[A[0,0],X[2,1|2,0]]",1,69,"BX[B[0,0],X[2,1|2,0]]"
70,"(0,7,7)",1,70,"CX[C[0,0],X[2,1|2,1]]",1,70,"XC[X[0,0|2,1],C[2,1]]",1,70,"AX[A[0,0],X[2,1|2,1]]",1,70,"BX[B[0,0],X[2,1|2,1]]"
71,"(0,7,8)",1,71,"CX[C[0,0],X[2,1|2,2]]",1,71,"XC[X[0,0|2,1],C[2,2]]",1,71,"AX[A[0,0],X[2,1|2,2]]",1,71,"BX[B[0,0],X[2,1|2,2]]"
72,"(0,8,0)",1,72,"CX[C[0,0],X[2,2|0,0]]",1,72,"XC[X[0,0|2,2],C[0,0]]",1,72,"AX[A[0,0],X[2,2|0,0]]",1,72,"BX[B[0,0],X[2,2|0,0]]"
73,"(0,8,1)",1,73,"CX[C[0,0],X[2,2|0,1]]",1,73,"XC[X[0,0|2,2],C[0,1]]",1,73,"AX[A[0,0],X[2,2|0,1]]",1,73,"BX[B[0,0],X[2,2|0,1]]"
74,"(0,8,2)",1,74,"CX[C[0,0],X[2,2|0,2]]",1,74,"XC[X[0,0|2,2],C[0,2]]",1,74,"AX[A[0,0],X[2,2|0,2]]",1,74,"BX[B[0,0],X[2,2|0,2]]"
75,"(0,8,3)",1,75,"CX[C[0,0],X[2,2|1,0]]",1,75,"XC[X[0,0|2,2],C[1,0]]",1,75,"AX[A[0,0],X[2,2|1,0]]",1,75,"BX[B[0,0],X[2,2|1,0]]"
76,"(0,8,4)",1,76,"CX[C[0,0],X[2,2|1,1]]",1,76,"XC[X[0,0|2,2],C[1,1]]",1,76,"AX[A[0,0],X[2,2|1,1]]",1,76,"BX[B[0,0],X[2,2|1,1]]"
77,"(0,8,5)",1,77,"CX[C[0,0],X[2,2|1,2]]",1,77,"XC[X[0,0|2,2],C[1,2]]",1,77,"AX[A[0,0],X[2,2|1,2]]",1,77,"BX[B[0,0],X[2,2|1,2]]"
78,"(0,8,6)",1,78,"CX[C[0,0],X[2,2|2,0]]",1,78,"XC[X[0,0|2,2],C[2,0]]",1,78,"AX[A[0,0],X[2,2|2,0]]",1,78,"BX[B[0,0],X[2,2|2,0]]"
79,"(0,8,7)",1,79,"CX[C[0,0],X[2,2|2,1]]",1,79,"XC[X[0,0|2,2],C[2,1]]",1,79,"AX[A[0,0],X[2,2|2,1]]",1,79,"BX[B[0,0],X[2,2|2,1]]"
80,"(0,8,8)",1,80,"CX[C[0,0],X[2,2|2,2]]",1,80,"XC[X[0,0|2,2],C[2,2]]",1,80,"AX[A[0,0],X[2,2|2,2]]",1,80,"BX[B[0,0],X[2,2|2,2]]"
81,"(1,0,0)",1,81,"CX[C[0,1],X[0,0|0,0]]",1,81,"XC[X[0,1|0,0],C[0,0]]",1,81,"AX[A[0,1],X[0,0|0,0]]",1,81,"BX[B[0,1],X[0,0|0,0]]"
82,"(1,0,1)",1,82,"CX[C[0,1],X[0,0|0,1]]",1,82,"XC[X[0,1|0,0],C[0,1]]",1,82,"AX[A[0,1],X[0,0|0,1]]",1,82,"BX[B[0,1],X[0,0|0,1]]"
83,"(1,0,2)",1,83,"CX[C[0,1],X[0,0|0,2]]",1,83,"XC[X[0,1|0,0],C[0,2]]",1,83,"AX[A[0,1],X[0,0|0,2]]",1,83,"BX[B[0,1],X[0,0|0,2]]"
84,"(1,0,3)",1,84,"CX[C[0,1],X[0,0|1,0]]",1,84,"XC[X[0,1|0,0],C[1,0]]",1,84,"AX[A[0,1],X[0,0|1,0]]",1,84,"BX[B[0,1],X[0,0|1,0]]"
85,"(1,0,4)",1,85,"CX[C[0,1],X[0,0|1,1]]",1,85,"XC[X[0,1|0,0],C[1,1]]",1,85,"AX[A[0,1],X[0,0|1,1]]",1,85,"BX[B[0,1],X[0,0|1,1]]"
86,"(1,0,5)",1,86,"CX[C[0,1],X[0,0|1,2]]",1,86,"XC[X[0,1|0,0],C[1,2]]",1,86,"AX[A[0,1],X[0,0|1,2]]",1,86,"BX[B[0,1],X[0,0|1,2]]"
87,"(1,0,6)",1,87,"CX[C[0,1],X[0,0|2,0]]",1,87,"XC[X[0,1|0,0],C[2,0]]",1,87,"AX[A[0,1],X[0,0|2,0]]",1,87,"BX[B[0,1],X[0,0|2,0]]"
88,"(1,0,7)",1,88,"CX[C[0,1],X[0,0|2,1]]",1,88,"XC[X[0,1|0,0],C[2,1]]",1,88,"AX[A[0,1],X[0,0|2,1]]",1,88,"BX[B[0,1],X[0,0|2,1]]"
89,"(1,0,8)",1,89,"CX[C[0,1],X[0,0|2,2]]",1,89,"XC[X[0,1|0,0],C[2,2]]",1,89,"AX[A[0,1],X[0,0|2,2]]",1,89,"BX[B[0,1],X[0,0|2,2]]"
90,"(1,1,0)",1,90,"CX[C[0,1],X[0,1|0,0]]",1,90,"XC[X[0,1|0,1],C[0,0]]",1,90,"AX[A[0,1],X[0,1|0,0]]",1,90,"BX[B[0,1],X[0,1|0,0]]"
91,"(1,1,1)",1,91,"CX[C[0,1],X[0,1|0,1]]",1,91,"XC[X[0,1|0,1],C[0,1]]",1,91,"AX[A[0,1],X[0,1|0,1]]",1,91,"BX[B[0,1],X[0,1|0,1]]"
92,"(1,1,2)",1,92,"CX[C[0,1],X[0,1|0,2]]",1,92,"XC[X[0,1|0,1],C[0,2]]",1,92,"AX[A[0,1],X[0,1|0,2]]",1,92,"BX[B[0,1],X[0,1|0,2]]"
93,"(1,1,3)",1,93,"CX[C[0,1],X[0,1|1,0]]",1,93,"XC[X[0,1|0,1],C[1,0]]",1,93,"AX[A[0,1],X[0,1|1,0]]",1,93,"BX[B[0,1],X[0,1|1,0]]"
94,"(1,1,4)",1,94,"CX[C[0,1],X[0,1|1,1]]",1,94,"XC[X[0,1|0,1],C[1,1]]",1,94,"AX[A[0,1],X[0,1|1,1]]",1,94,"BX[B[0,1],X[0,1|1,1]]"
95,"(1,1,5)",1,95,"CX[C[0,1],X[0,1|1,2]]",1,95,"XC[X[0,1|0,1],C[1,2]]",1,95,"AX[A[0,1],X[0,1|1,2]]",1,95,"BX[B[0,1],X[0,1|1,2]]"
96,"(1,1,6)",1,96,"CX[C[0,1],X[0,1|2,0]]",1,96,"XC[X[0,1|0,1],C[2,0]]",1,96,"AX[A[0,1],X[0,1|2,0]]",1,96,"BX[B[0,1],X[0,1|2,0]]"
97,"(1,1,7)",1,97,"CX[C[0,1],X[0,1|2,1]]",1,97,"XC[X[0,1|0,1],C[2,1]]",1,97,"AX[A[0,1],X[0,1|2,1]]",1,97,"BX[B[0,1],X[0,1|2,1]]"
98,"(1,1,8)",1,98,"CX[C[0,1],X[0,1|2,2]]",1,98,"XC[X[0,1|0,1],C[2,2]]",1,98,"AX[A[0,1],X[0,1|2,2]]",1,98,"BX[B[0,1],X[0,1|2,2]]"
99,"(1,2,0)",1,99,"CX[C[0,1],X[0,2|0,0]]",1,99,"XC[X[0,1|0,2],C[0,0]]",1,99,"AX[A[0,1],X[0,2|0,0]]",1,99,"BX[B[0,1],X[0,2|0,0]]"
100,"(1,2,1)",1,100,"CX[C[0,1],X[0,2|0,1]]",1,100,"XC[X[0,1|0,2],C[0,1]]",1,100,"AX[A[0,1],X[0,2|0,1]]",1,100,"BX[B[0,1],X[0,2|0,1]]"
101,"(1,2,2)",1,101,"CX[C[0,1],X[0,2|0,2]]",1,101,"XC[X[0,1|0,2],C[0,2]]",1,101,"AX[A[0,1],X[0,2|0,2]]",1,101,"BX[B[0,1],X[0,2|0,2]]"
102,"(1,2,3)",1,102,"CX[C[0,1],X[0,2|1,0]]",1,102,"XC[X[0,1|0,2],C[1,0]]",1,102,"AX[A[0,1],X[0,2|1,0]]",1,102,"BX[B[0,1],X[0,2|1,0]]"
103,"(1,2,4)",1,103,"CX[C[0,1],X[0,2|1,1]]",1,103,"XC[X[0,1|0,2],C[1,1]]",1,103,"AX[A[0,1],X[0,2|1,1]]",1,103,"BX[B[0,1],X[0,2|1,1]]"
104,"(1,2,5)",1,104,"CX[C[0,1],X[0,2|1,2]]",1,104,"XC[X[0,1|0,2],C[1,2]]",1,104,"AX[A[0,1],X[0,2|1,2]]",1,104,"BX[B[0,1],X[0,2|1,2]]"
105,"(1,2,6)",1,105,"CX[C[0,1],X[0,2|2,0]]",1,105,"XC[X[0,1|0,2],C[2,0]]",1,105,"AX[A[0,1],X[0,2|2,0]]",1,105,"BX[B[0,1],X[0,2|2,0]]"
106,"(1,2,7)",1,106,"CX[C[0,1],X[0,2|2,1]]",1,106,"XC[X[0,1|0,2],C[2,1]]",1,106,"AX[A[0,1],X[0,2|2,1]]",1,106,"BX[B[0,1],X[0,2|2,1]]"
