case_id,dropped_terms,retained_term_count,status,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_full_tensor_max_abs_residual,start_full_tensor_fro_residual,error,provenance
step83_t03_t06_t12_t17,t03;t06;t12;t17,19,screened_ok,99,97,97,1.4254195332219393e+02,1.0000000000000000e+00,4.2426406871192848e+00,,MEASURED_FROM_CODE
step83_t03_t06_t12_t22,t03;t06;t12;t22,19,screened_ok,100,97,97,9.0486136447540261e+01,1.0000000000000000e+00,4.1231056256176606e+00,,MEASURED_FROM_CODE
step83_t03_t06_t15_t17,t03;t06;t15;t17,19,screened_ok,98,95,95,1.2940192648682691e+02,1.0000000000000000e+00,4.4721359549995796e+00,,MEASURED_FROM_CODE
step83_t03_t06_t15_t22,t03;t06;t15;t22,19,screened_ok,99,96,96,1.2584229402673064e+02,1.0000000000000000e+00,4.5825756949558398e+00,,MEASURED_FROM_CODE
step83_t03_t06_t17_t22,t03;t06;t17;t22,19,screened_ok,103,98,98,2.1161293212584275e+02,1.0000000000000000e+00,3.3166247903553998e+00,,MEASURED_FROM_CODE
step83_t03_t09_t10_t11,t03;t09;t10;t11,19,screened_ok,93,90,90,1.1869949449385872e+02,1.0000000000000000e+00,5.8309518948453007e+00,,MEASURED_FROM_CODE
step83_t03_t09_t10_t12,t03;t09;t10;t12,19,screened_ok,94,91,91,1.1478699526940910e+02,1.0000000000000000e+00,5.4772255750516612e+00,,MEASURED_FROM_CODE
step83_t03_t09_t10_t15,t03;t09;t10;t15,19,screened_ok,93,93,93,7.9304297356769467e+01,1.0000000000000000e+00,5.8309518948453007e+00,,MEASURED_FROM_CODE
step83_t03_t09_t10_t17,t03;t09;t10;t17,19,screened_ok,97,95,95,1.2503386283512886e+02,1.0000000000000000e+00,4.8989794855663558e+00,,MEASURED_FROM_CODE
step83_t03_t09_t10_t22,t03;t09;t10;t22,19,screened_ok,98,95,95,1.1015462868911294e+02,1.0000000000000000e+00,4.7958315233127191e+00,,MEASURED_FROM_CODE
step83_t03_t09_t11_t12,t03;t09;t11;t12,19,screened_ok,95,92,92,9.7379827932022522e+01,1.0000000000000000e+00,5.4772255750516612e+00,,MEASURED_FROM_CODE
step83_t03_t09_t11_t15,t03;t09;t11;t15,19,screened_ok,94,94,94,8.9348871024004751e+01,1.0000000000000000e+00,5.8309518948453007e+00,,MEASURED_FROM_CODE
step83_t03_t09_t11_t17,t03;t09;t11;t17,19,screened_ok,98,96,96,3.0771106528394523e+02,1.0000000000000000e+00,4.8989794855663558e+00,,MEASURED_FROM_CODE
