profile_orbit_id,canonical_profile,profile_matrix,cxxc_orbit0_support,cxxc_orbit30_support,support_pair_count,max_fiber_activation,nonzero_fibers,fibers_with_0,fibers_with_1,fibers_with_2,fibers_with_3,sample_a_support,sample_b_support,is_generic_full_support_profile
232,"(0, 0, 1, 1, 1, 1, 2, 2, 1)","[[0, 0, 1], [1, 1, 1], [2, 2, 1]]",9,2,324,2,7,2,5,2,0,101/010/100,111/001/110,False
233,"(0, 0, 1, 1, 1, 1, 2, 2, 2)","[[0, 0, 1], [1, 1, 1], [2, 2, 2]]",10,3,324,2,7,2,4,3,0,101/010/100,111/100/111,False
234,"(0, 0, 1, 1, 1, 1, 2, 2, 3)","[[0, 0, 1], [1, 1, 1], [2, 2, 3]]",11,5,108,3,7,2,4,2,1,111/010/100,111/100/111,False
235,"(0, 0, 1, 1, 1, 2, 1, 1, 2)","[[0, 0, 1], [1, 1, 2], [1, 1, 2]]",9,2,1242,2,7,2,5,2,0,110/110/100,100/111/000,False
236,"(0, 0, 1, 1, 1, 2, 1, 1, 3)","[[0, 0, 1], [1, 1, 2], [1, 1, 3]]",10,4,324,3,7,2,5,1,1,111/110/100,100/111/100,False
237,"(0, 0, 1, 1, 1, 2, 1, 2, 1)","[[0, 0, 1], [1, 1, 2], [1, 2, 1]]",9,2,216,2,7,2,5,2,0,011/110/100,010/111/100,False
238,"(0, 0, 1, 1, 1, 2, 1, 2, 2)","[[0, 0, 1], [1, 1, 2], [1, 2, 2]]",10,3,432,2,7,2,4,3,0,011/110/100,100/111/110,False
239,"(0, 0, 1, 1, 1, 2, 1, 2, 3)","[[0, 0, 1], [1, 1, 2], [1, 2, 3]]",11,5,216,3,7,2,4,2,1,111/110/100,100/111/110,False
240,"(0, 0, 1, 1, 1, 2, 2, 2, 1)","[[0, 0, 1], [1, 1, 2], [2, 2, 1]]",10,3,108,2,7,2,4,3,0,011/110/100,001/111/110,False
241,"(0, 0, 1, 1, 1, 2, 2, 2, 2)","[[0, 0, 1], [1, 1, 2], [2, 2, 2]]",11,4,216,2,7,2,3,4,0,011/110/100,100/111/111,False
242,"(0, 0, 1, 1, 1, 2, 2, 2, 3)","[[0, 0, 1], [1, 1, 2], [2, 2, 3]]",12,6,108,3,7,2,3,3,1,111/110/100,100/111/111,False
243,"(0, 0, 1, 1, 1, 3, 1, 1, 3)","[[0, 0, 1], [1, 1, 3], [1, 1, 3]]",11,6,108,3,7,2,5,0,2,111/111/100,100/111/100,False
244,"(0, 0, 1, 1, 2, 0, 1, 2, 0)","[[0, 0, 1], [1, 2, 0], [1, 2, 0]]",7,2,108,2,5,4,3,2,0,011/011/100,001/110/100,False
245,"(0, 0, 1, 1, 2, 0, 1, 2, 1)","[[0, 0, 1], [1, 2, 0], [1, 2, 1]]",8,2,216,2,6,3,4,2,0,111/011/100,001/110/100,False
246,"(0, 0, 1, 1, 2, 1, 1, 2, 1)","[[0, 0, 1], [1, 2, 1], [1, 2, 1]]",9,2,324,2,7,2,5,2,0,011/011/100,010/111/100,False
247,"(0, 0, 1, 1, 2, 1, 1, 2, 2)","[[0, 0, 1], [1, 2, 1], [1, 2, 2]]",10,3,432,2,7,2,4,3,0,111/011/100,010/111/100,False
248,"(0, 0, 1, 1, 2, 2, 1, 2, 2)","[[0, 0, 1], [1, 2, 2], [1, 2, 2]]",11,4,324,2,7,2,3,4,0,011/011/100,100/111/110,False
249,"(0, 0, 1, 1, 2, 2, 1, 2, 3)","[[0, 0, 1], [1, 2, 2], [1, 2, 3]]",12,6,216,3,7,2,3,3,1,111/011/100,100/111/110,False
250,"(0, 0, 1, 1, 2, 3, 1, 2, 3)","[[0, 0, 1], [1, 2, 3], [1, 2, 3]]",13,8,108,3,7,2,3,2,2,111/111/100,100/111/110,False
251,"(0, 0, 1, 2, 2, 0, 2, 2, 0)","[[0, 0, 1], [2, 2, 0], [2, 2, 0]]",9,4,27,2,5,4,1,4,0,011/011/100,001/110/110,False
252,"(0, 0, 1, 2, 2, 0, 2, 2, 1)","[[0, 0, 1], [2, 2, 0], [2, 2, 1]]",10,4,54,2,6,3,2,4,0,111/011/100,001/110/110,False
253,"(0, 0, 1, 2, 2, 1, 2, 2, 1)","[[0, 0, 1], [2, 2, 1], [2, 2, 1]]",11,4,81,2,7,2,3,4,0,011/011/100,001/111/110,False
254,"(0, 0, 1, 2, 2, 1, 2, 2, 2)","[[0, 0, 1], [2, 2, 1], [2, 2, 2]]",12,5,108,2,7,2,2,5,0,111/011/100,001/111/110,False
255,"(0, 0, 1, 2, 2, 2, 2, 2, 2)","[[0, 0, 1], [2, 2, 2], [2, 2, 2]]",13,6,81,2,7,2,1,6,0,011/011/100,100/111/111,False
256,"(0, 0, 1, 2, 2, 2, 2, 2, 3)","[[0, 0, 1], [2, 2, 2], [2, 2, 3]]",14,8,54,3,7,2,1,5,1,111/011/100,100/111/111,False
257,"(0, 0, 1, 2, 2, 3, 2, 2, 3)","[[0, 0, 1], [2, 2, 3], [2, 2, 3]]",15,10,27,3,7,2,1,4,2,111/111/100,100/111/111,False
258,"(0, 0, 2, 0, 0, 2, 0, 0, 2)","[[0, 0, 2], [0, 0, 2], [0, 0, 2]]",6,3,207,2,3,6,0,3,0,110/110/110,100/100/000,False
259,"(0, 0, 2, 0, 0, 2, 0, 0, 3)","[[0, 0, 2], [0, 0, 2], [0, 0, 3]]",7,5,81,3,3,6,0,2,1,111/110/110,100/100/100,False
260,"(0, 0, 2, 0, 0, 2, 0, 1, 1)","[[0, 0, 2], [0, 0, 2], [0, 1, 1]]",6,2,162,2,4,5,2,2,0,011/011/100,110/100/100,False
261,"(0, 0, 2, 0, 0, 2, 0, 1, 2)","[[0, 0, 2], [0, 0, 2], [0, 1, 2]]",7,3,162,2,4,5,1,3,0,101/110/110,100/100/110,False
262,"(0, 0, 2, 0, 0, 2, 0, 1, 3)","[[0, 0, 2], [0, 0, 2], [0, 1, 3]]",8,5,54,3,4,5,1,2,1,111/110/110,100/100/110,False
263,"(0, 0, 2, 0, 0, 2, 1, 1, 0)","[[0, 0, 2], [0, 0, 2], [1, 1, 0]]",6,2,27,2,4,5,2,2,0,011/011/100,011/100/100,False
264,"(0, 0, 2, 0, 0, 2, 1, 1, 1)","[[0, 0, 2], [0, 0, 2], [1, 1, 1]]",7,2,81,2,5,4,3,2,0,011/011/100,111/100/100,False
265,"(0, 0, 2, 0, 0, 2, 1, 1, 2)","[[0, 0, 2], [0, 0, 2], [1, 1, 2]]",8,3,81,2,5,4,2,3,0,101/110/110,100/100/111,False
266,"(0, 0, 2, 0, 0, 2, 1, 1, 3)","[[0, 0, 2], [0, 0, 2], [1, 1, 3]]",9,5,27,3,5,4,2,2,1,111/110/110,100/100/111,False
267,"(0, 0, 2, 0, 0, 3, 0, 0, 3)","[[0, 0, 2], [0, 0, 3], [0, 0, 3]]",8,7,27,3,3,6,0,1,2,111/111/110,100/100/100,False
268,"(0, 0, 2, 0, 1, 1, 0, 1, 1)","[[0, 0, 2], [0, 1, 1], [0, 1, 1]]",6,1,270,2,5,4,4,1,0,011/100/100,110/100/100,False
269,"(0, 0, 2, 0, 1, 1, 0, 1, 2)","[[0, 0, 2], [0, 1, 1], [0, 1, 2]]",7,2,432,2,5,4,3,2,0,011/110/100,110/100/100,False
270,"(0, 0, 2, 0, 1, 1, 0, 1, 3)","[[0, 0, 2], [0, 1, 1], [0, 1, 3]]",8,4,108,3,5,4,3,1,1,111/011/100,110/100/100,False
271,"(0, 0, 2, 0, 1, 2, 0, 1, 2)","[[0, 0, 2], [0, 1, 2], [0, 1, 2]]",8,3,270,2,5,4,2,3,0,101/110/110,100/110/100,False
272,"(0, 0, 2, 0, 1, 2, 0, 1, 3)","[[0, 0, 2], [0, 1, 2], [0, 1, 3]]",9,5,216,3,5,4,2,2,1,111/101/110,100/110/100,False
