schema,orbit_id,rep_config_id,rep_readable,orbit_size,stabilizer_size,signature_key,row_pattern,channel_pattern,col_pattern
LLL,51,244,"LLL[L[0,0,0],L[1,0,0],L[0,0,1]]",108,2,"rows=(0, 1, 0); channels=(0, 0, 0); cols=(0, 0, 1)","(0, 1, 0)","(0, 0, 0)","(0, 0, 1)"
LLL,52,246,"LLL[L[0,0,0],L[1,0,0],L[0,1,0]]",108,2,"rows=(0, 1, 0); channels=(0, 0, 1); cols=(0, 0, 0)","(0, 1, 0)","(0, 0, 1)","(0, 0, 0)"
LLL,53,247,"LLL[L[0,0,0],L[1,0,0],L[0,1,1]]",216,1,"rows=(0, 1, 0); channels=(0, 0, 1); cols=(0, 0, 1)","(0, 1, 0)","(0, 0, 1)","(0, 0, 1)"
LLL,54,252,"LLL[L[0,0,0],L[1,0,0],L[1,0,0]]",54,4,"rows=(0, 1, 1); channels=(0, 0, 0); cols=(0, 0, 0)","(0, 1, 1)","(0, 0, 0)","(0, 0, 0)"
LLL,55,253,"LLL[L[0,0,0],L[1,0,0],L[1,0,1]]",108,2,"rows=(0, 1, 1); channels=(0, 0, 0); cols=(0, 0, 1)","(0, 1, 1)","(0, 0, 0)","(0, 0, 1)"
LLL,56,255,"LLL[L[0,0,0],L[1,0,0],L[1,1,0]]",108,2,"rows=(0, 1, 1); channels=(0, 0, 1); cols=(0, 0, 0)","(0, 1, 1)","(0, 0, 1)","(0, 0, 0)"
LLL,57,256,"LLL[L[0,0,0],L[1,0,0],L[1,1,1]]",216,1,"rows=(0, 1, 1); channels=(0, 0, 1); cols=(0, 0, 1)","(0, 1, 1)","(0, 0, 1)","(0, 0, 1)"
LLL,58,261,"LLL[L[0,0,0],L[1,0,0],L[2,0,0]]",54,4,"rows=(0, 1, 2); channels=(0, 0, 0); cols=(0, 0, 0)","(0, 1, 2)","(0, 0, 0)","(0, 0, 0)"
LLL,59,262,"LLL[L[0,0,0],L[1,0,0],L[2,0,1]]",108,2,"rows=(0, 1, 2); channels=(0, 0, 0); cols=(0, 0, 1)","(0, 1, 2)","(0, 0, 0)","(0, 0, 1)"
LLL,60,264,"LLL[L[0,0,0],L[1,0,0],L[2,1,0]]",108,2,"rows=(0, 1, 2); channels=(0, 0, 1); cols=(0, 0, 0)","(0, 1, 2)","(0, 0, 1)","(0, 0, 0)"
