base_label,step_idx,branch,sample_index,eps,step_norm,delta_norm,dot_lambda_norm,base_kappa_ker,kappa_ker_state,honest_defect_l2,tensor_max_abs_residual,tensor_loss,restricted_rank,kernel_dim,is_regular
alphatensor_rank23_transpose,0,wildcard,10,0.03,3.204081626318582,3.108570766068484,0.7764836511200548,0.6245923009701738,0.6065915290820736,0.6089743432803293,4.900437971319279e-15,4.380499327762192e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,10,0.05,3.204081626318582,3.108570766068484,0.7764836511200548,0.6245923009701738,0.5941692638460395,0.6007970338891864,3.280863509524396e-15,3.639269333399205e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,11,0.001,4.215969337586164,3.9862877582472245,1.3725550495025838,0.6245923009701738,0.6238588205888057,0.6238695118428144,2.3895218459944095e-15,2.6123732484273813e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,11,0.003,4.215969337586164,3.9862877582472245,1.3725550495025838,0.6245923009701738,0.6223853611976478,0.6224816733254522,3.774758283725532e-15,3.022969061395178e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,11,0.01,4.215969337586164,3.9862877582472245,1.3725550495025838,0.6245923009701738,0.6171633228016232,0.6182366933027696,1.860559110916323e-15,1.4286765448063594e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,11,0.03,4.215969337586164,3.9862877582472245,1.3725550495025838,0.6245923009701738,0.6017583291786406,0.6114761995396147,2.6645352591003757e-15,2.4285273162623705e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,11,0.05,4.215969337586164,3.9862877582472245,1.3725550495025838,0.6245923009701738,0.5857724973145496,0.6128072423501549,2.220446049250313e-15,1.8062731411384993e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,12,0.001,3.5489472452150075,3.459592643037711,0.7913566159188491,0.6245923009701738,0.6238868107412872,0.6238876458755581,4.5723513795018e-15,1.9020854241855077e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,12,0.003,3.5489472452150075,3.459592643037711,0.7913566159188491,0.6245923009701738,0.6224716188421744,0.6224790942873125,2.542827315229287e-15,2.9110089300863026e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,12,0.01,3.5489472452150075,3.459592643037711,0.7913566159188491,0.6245923009701738,0.61747586098073,0.6175574512751881,3.0586878307989256e-15,4.406069800818255e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,12,0.03,3.5489472452150075,3.459592643037711,0.7913566159188491,0.6245923009701738,0.6028739782517342,0.6035799807866956,2.41896344107109e-15,2.419365032259616e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,12,0.05,3.5489472452150075,3.459592643037711,0.7913566159188491,0.6245923009701738,0.5878609320294748,0.5897876917845326,3.4701702231049337e-15,3.8904358072784185e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,13,0.001,4.077616006988392,3.781643225025713,1.5251645219664296,0.6245923009701738,0.6240435253004111,0.624052990397042,3.9968028886505635e-15,2.878216526603252e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,13,0.003,4.077616006988392,3.781643225025713,1.5251645219664296,0.6245923009701738,0.6229408089790189,0.6230261291095752,3.1683361561471328e-15,3.267064991272546e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,13,0.01,4.077616006988392,3.781643225025713,1.5251645219664296,0.6245923009701738,0.6190296536714583,0.6199826487504154,2.7692914506480976e-15,2.625690738729077e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,13,0.03,4.077616006988392,3.781643225025713,1.5251645219664296,0.6245923009701738,0.6074685606912548,0.6161540660634561,1.6160544443650268e-15,1.1178654660395968e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,13,0.05,4.077616006988392,3.781643225025713,1.5251645219664296,0.6245923009701738,0.5954443836785385,0.619779253335054,2.73319687747899e-15,2.36502376976232e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,14,0.001,4.154698784929825,3.9757872590928467,1.2060836056975284,0.6245923009701738,0.6240588032329017,0.6240633587413357,2.384164002535196e-15,1.9457900664285077e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,14,0.003,4.154698784929825,3.9757872590928467,1.2060836056975284,0.6245923009701738,0.6229904934733473,0.623031519509222,2.1759317381799692e-15,1.4037501318076668e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,14,0.01,4.154698784929825,3.9757872590928467,1.2060836056975284,0.6245923009701738,0.6192377007119397,0.6196944604536113,3.1312786082903752e-15,2.8565213739463866e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,14,0.03,4.154698784929825,3.9757872590928467,1.2060836056975284,0.6245923009701738,0.6084002372798787,0.6125256259578459,3.0276066687309083e-15,1.7758870652037678e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,14,0.05,4.154698784929825,3.9757872590928467,1.2060836056975284,0.6245923009701738,0.597397821297246,0.6088602782440584,2.7031708184421843e-15,3.0188286759393138e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,15,0.001,3.0880498647618735,3.002482562934967,0.7219074916686355,0.6245923009701738,0.6239927016079726,0.6239942374469148,3.021332560061533e-15,3.151906018058418e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,15,0.003,3.0880498647618735,3.002482562934967,0.7219074916686355,0.6245923009701738,0.6227895392997078,0.6228033151882317,3.219646771412954e-15,2.8421377615902096e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,15,0.01,3.0880498647618735,3.002482562934967,0.7219074916686355,0.6245923009701738,0.6185389040003835,0.6186902601875095,2.409624441878675e-15,2.06960703427297e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,15,0.03,3.0880498647618735,3.002482562934967,0.7219074916686355,0.6245923009701738,0.6061004428857193,0.607426905286697,4.472815861738016e-15,5.737271183671929e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,15,0.05,3.0880498647618735,3.002482562934967,0.7219074916686355,0.6245923009701738,0.5933162362137294,0.5969354173082304,1.7406825656136333e-15,1.4580643020626934e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,16,0.001,3.2690222063916736,2.9881480325553404,1.3256988803712297,0.6245923009701738,0.6240616497790589,0.6240643684975388,3.2355274721287187e-15,3.8278621714952257e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,16,0.003,3.2690222063916736,2.9881480325553404,1.3256988803712297,0.6245923009701738,0.6229980940388901,0.6230225671184038,2.7589101492979494e-15,2.6273814753066267e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,16,0.01,3.2690222063916736,2.9881480325553404,1.3256988803712297,0.6245923009701738,0.6192528516960317,0.6195249681152296,3.1086244689504383e-15,2.763617891956957e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,16,0.03,3.2690222063916736,2.9881480325553404,1.3256988803712297,0.6245923009701738,0.6083756633942373,0.6108304815518466,2.765758669772494e-15,2.874570461452092e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,16,0.05,3.2690222063916736,2.9881480325553404,1.3256988803712297,0.6245923009701738,0.5972741773269115,0.6041109883599555,4.6629367034256575e-15,4.280467261782094e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,17,0.001,3.3418981670559416,3.118410348005312,1.2015823985167433,0.6245923009701738,0.6240445253126503,0.6240488052622222,4.109890978241868e-15,4.134367146670405e-28,14,14,1
