base_label,family,trial_index,noise_scale,R,rank_H_numeric,rank_HDelta_numeric,channel0_identity_max_abs,channel1_identity_max_abs,channel2_identity_max_abs,pair01_live_gap_max_abs,pair12_live_gap_max_abs,pair02_live_gap_max_abs,tensor_max_abs_residual,tensor_loss
alphatensor_rank23_transpose,all_equal,14,0.02,23,0,9,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.0,0.0,0.0,0.6666666666666669,18.0
alphatensor_rank23_transpose,all_equal,15,0.02,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.666666666666667,18.0
alphatensor_rank23_transpose,all_equal,16,0.02,23,0,9,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,0.6666666666666667,18.0
alphatensor_rank23_transpose,all_equal,17,0.02,23,0,9,0.6666666666666671,0.6666666666666671,0.6666666666666671,0.0,0.0,0.0,0.6666666666666672,18.0
alphatensor_rank23_transpose,all_equal,18,0.02,23,0,9,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.0,0.0,0.0,0.6666666666666672,18.0
alphatensor_rank23_transpose,all_equal,19,0.02,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.666666666666667,18.0
alphatensor_rank23_transpose,all_equal,20,0.02,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.666666666666667,18.0
alphatensor_rank23_transpose,all_equal,21,0.02,23,0,9,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,0.6666666666666667,18.0
alphatensor_rank23_transpose,all_equal,22,0.02,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.666666666666667,18.0
alphatensor_rank23_transpose,all_equal,23,0.02,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.666666666666667,18.0
alphatensor_rank23_transpose,all_equal,24,0.02,23,0,9,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.0,0.0,0.0,0.6666666666666669,18.0
alphatensor_rank23_transpose,all_equal,25,0.02,23,0,9,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,0.6666666666666667,18.0
alphatensor_rank23_transpose,all_equal,26,0.02,23,0,9,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.0,0.0,0.0,0.6666666666666672,18.0
alphatensor_rank23_transpose,all_equal,27,0.02,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.666666666666667,18.0
alphatensor_rank23_transpose,all_equal,28,0.02,23,0,9,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.0,0.0,0.0,0.6666666666666672,18.0
alphatensor_rank23_transpose,all_equal,29,0.02,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.6666666666666671,18.0
alphatensor_rank23_transpose,all_equal,30,0.02,23,0,9,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.0,0.0,0.0,0.6666666666666669,18.0
alphatensor_rank23_transpose,collinear,1,0.0,23,18,20,0.7152405031767511,0.7588615991075128,0.7171150446147936,2.0309422719193337,1.5279474908731125,1.4133052362434984,0.7588615991075128,10.01434338568519
alphatensor_rank23_transpose,collinear,2,0.02,23,18,23,0.7482945854028645,0.8148462253929856,0.9651879177282556,2.026349577678781,1.471596060110587,1.3926871385855022,0.9651879177282556,10.750375817930353
alphatensor_rank23_transpose,collinear,3,0.02,23,18,23,0.7345684114990355,0.7898966938382603,0.8609909543235648,2.0237103153056486,1.5980262326107066,1.4011978959651439,0.8609909543235648,10.764603001507535
alphatensor_rank23_transpose,collinear,4,0.02,23,18,23,0.7607756940994168,0.8065653604960132,0.9953772813773666,2.00119601638869,1.5257733653756158,1.3751695371898942,0.9953772813773666,10.832412711805627
alphatensor_rank23_transpose,collinear,5,0.02,23,18,23,0.7191388856863581,0.7405899089803374,0.7420931243330606,1.9910379531880475,1.4430302825029,1.3931018863744866,0.7420931243330606,10.186991576391474
alphatensor_rank23_transpose,collinear,6,0.02,23,18,23,0.7197004599314711,0.7563180086656424,0.7504002228591199,2.02620411505771,1.540939073705742,1.3790564865250377,0.7563180086656422,10.505807244735982
alphatensor_rank23_transpose,collinear,7,0.02,23,18,23,0.7168646223902235,0.7479584781808433,0.7336541481854886,2.0397148295483545,1.510667362605701,1.427756968626725,0.7479584781808433,10.10533881419856
alphatensor_rank23_transpose,collinear,8,0.02,23,18,23,0.7577490447438291,0.7844175596313278,0.908189881409569,2.02370474460862,1.5949864714169755,1.3869997500365547,0.908189881409569,10.84269417898824
alphatensor_rank23_transpose,collinear,9,0.02,23,18,23,0.7360194733783506,0.8071425215640515,0.9447000233692181,2.066520727327173,1.5295102704070815,1.4510837197732807,0.9447000233692181,10.648595677764199
alphatensor_rank23_transpose,collinear,10,0.02,23,18,23,0.7442911679277031,0.7672564984763293,0.7581715923750632,2.0528945418824813,1.5336604981717716,1.3680277851758231,0.7672564984763293,10.134432692088634
alphatensor_rank23_transpose,collinear,11,0.02,23,18,23,0.7519255605320724,0.781390556595958,0.8654426848052982,2.0531472799389925,1.4798200613063592,1.394222172823114,0.8654426848052983,10.695798665896524
alphatensor_rank23_transpose,collinear,12,0.02,23,18,23,0.7318968355438067,0.7786495381417436,0.8562496536588053,2.0502663329918343,1.5346185347175822,1.3964562496345894,0.8562496536588053,10.705647457142291
alphatensor_rank23_transpose,collinear,13,0.02,23,18,23,0.7103745335916847,0.7683339078816663,0.7069137283026788,2.0344802346317223,1.53107938193603,1.4236102722655835,0.7683339078816663,10.137565061727845
alphatensor_rank23_transpose,collinear,14,0.02,23,18,23,0.726494669939393,0.7681868093167025,0.7391634739395719,2.068487429065256,1.508095662064148,1.4488554841880144,0.7681868093167025,10.127402549267167
alphatensor_rank23_transpose,collinear,15,0.02,23,18,23,0.756372385846352,0.8141795795127811,0.9301342618428569,2.0931560677656393,1.5308751428749545,1.44103703162054,0.9301342618428569,10.739158673318281
alphatensor_rank23_transpose,collinear,16,0.02,23,18,23,0.7230749600598423,0.7752113045610867,0.7356551341830428,2.1078379159953826,1.5078077444520126,1.4180830492221164,0.7752113045610867,10.144693239608745
alphatensor_rank23_transpose,collinear,17,0.02,23,18,23,0.7275484446390141,0.7677476934105747,0.7258776610639566,2.068956229586849,1.543231507431458,1.4488323760423876,0.7677476934105747,10.06592724406219
alphatensor_rank23_transpose,collinear,18,0.02,23,18,23,0.708653926534947,0.7761406113859739,0.7475831607337738,2.0662412315099927,1.5034012350017063,1.4317058219186931,0.7761406113859739,10.463702654040633
alphatensor_rank23_transpose,collinear,19,0.02,23,18,23,0.731620886726903,0.7532547755574492,0.7312376426077648,2.0030145434753868,1.524035528146921,1.434063663411795,0.7532547755574492,10.149511421615083
alphatensor_rank23_transpose,collinear,20,0.02,23,18,23,0.7066261022426313,0.7656348416568051,0.7223265672737371,1.9360284139925887,1.5378759804759363,1.3721670036481057,0.7656348416568051,10.00247080798001
alphatensor_rank23_transpose,collinear,21,0.02,23,18,23,0.7255996898647825,0.7596946046620878,0.7089252262201665,1.9790151212211498,1.540193748352063,1.35722833019566,0.7596946046620878,10.250227590817492
alphatensor_rank23_transpose,collinear,22,0.02,23,18,23,0.7237118051021008,0.7881087994386955,0.8420625849955137,2.052928245893467,1.4786337938276057,1.407384988938371,0.8420625849955137,10.661889157290087
alphatensor_rank23_transpose,collinear,23,0.02,23,18,23,0.7298433187168729,0.8150672945323054,0.9180616974439315,2.0044213081270934,1.5561626608471584,1.4222638040182887,0.9180616974439315,10.777588353072815
alphatensor_rank23_transpose,collinear,24,0.02,23,18,23,0.753414788212319,0.769458699270582,0.7197995622244093,2.020991009275778,1.499439340554943,1.3771908854014354,0.7694586992705819,10.02509388441203
alphatensor_rank23_transpose,collinear,25,0.02,23,18,23,0.7409746304663404,0.786263524685975,0.8531731730448116,1.9476948611917007,1.4752450481093384,1.379550607163529,0.8531731730448116,10.675358616347843
alphatensor_rank23_transpose,collinear,26,0.02,23,18,23,0.7507174496110668,0.8153914898818252,0.9832775882515002,2.0443355579942333,1.4889173425153137,1.426588872995988,0.9832775882515004,10.799874718465034
alphatensor_rank23_transpose,collinear,27,0.02,23,18,23,0.7101768896816492,0.7507521855828404,0.7396245033380353,2.0596884092683245,1.5440062075453276,1.4522716001751397,0.7507521855828404,10.290892481749262
