tag,projection_loss,projection_max_abs,sampled_points,rank_W,rank_sigma,theta,candidate
start_1,2.345155240376918e-28,2.4424906541753444e-15,200,76,9,"[-1.2853647289819718e-05, 2.951151306003451e-05, -2.5822573927530197e-05, 2.951151306003451e-05, 2.951151306003451e-05, 2.951151306003451e-05, 2.951151306003451e-05, 2.951151306003451e-05, 8.125334681977745e-07, 0.0001545115130600346, 0.9773308740405784, 2.951151306003451e-05, 2.951151306003451e-05, 2.951151306003451e-05]","[-9.390515897273528e-06, -4.347336271674428e-05, 4.026498372020571e-05, -1.0949060561476123e-05, -3.208378996538562e-06, 3.019603016864213e-05, -2.642152639756187e-05, -9.39051589727352e-06, -1.5585446642025809e-06, 3.019603016864213e-05, 3.019603016864213e-05, 6.933438452198373e-21, 8.313801149002399e-07, 0.00015809539484716245, 0.999999982963943, 3.019603016864213e-05, 6.933438452198373e-21, 3.019603016864213e-05]"
start_1,1.5374937565132683e-28,1.9177368026923602e-15,200,76,9,"[-3.2134118224549294e-06, 7.377878265008627e-06, -6.455643481882549e-06, 7.377878265008627e-06, 7.377878265008627e-06, 7.377878265008627e-06, 7.377878265008627e-06, 7.377878265008627e-06, 2.0313336704944362e-07, 0.00013237787826500866, 1.0130827185101445, 7.377878265008627e-06, 7.377878265008627e-06, 7.377878265008627e-06]","[-2.264780806509136e-06, -1.0484795356544663e-05, 9.711006647717992e-06, -2.6406666556133487e-06, -7.737887088266674e-07, 7.282601968499659e-06, -6.372276722437202e-06, -2.264780806509134e-06, -3.7588584910420887e-07, 7.282601968499659e-06, 7.282601968499659e-06, 1.6721891003038995e-21, 2.0051014744420048e-07, 0.00013066837947311034, 0.9999999911988704, 7.282601968499659e-06, 1.6721891003038995e-21, 7.282601968499659e-06]"
start_1,2.247138239931669e-28,1.842276331487369e-15,200,76,9,"[-3.361495316577278e-06, 7.717872655101193e-06, -6.75313857321354e-06, 7.717872655101193e-06, 7.71787265510119e-06, 7.717872655101193e-06, 7.71787265510119e-06, 7.717872655101193e-06, 6.472862338396417e-05, 0.00013271787265510117, 0.9996303092248979, 7.717872655101193e-06, 7.71787265510119e-06, 7.717872655101193e-06]","[-2.4010311229483775e-06, -1.1115565752083222e-05, 1.0295225537639877e-05, -2.799530447819555e-06, -8.203402144433424e-07, 7.720726850102908e-06, -6.755635993840041e-06, -2.401031122948375e-06, -3.9849932487117557e-07, 7.720726850102908e-06, 7.720726850102905e-06, 3.389384775332151e-21, 6.475256108306681e-05, 0.00013276695388586234, 0.9999999887933042, 7.720726850102908e-06, 0.0, 7.720726850102908e-06]"
start_1,1.694968460433058e-28,1.7139067942650854e-15,200,76,9,"[-7.37085591993982e-06, 1.6923220766857347e-05, -1.4807818171000177e-05, 1.6923220766857347e-05, 1.6923220766857347e-05, 1.6923220766857347e-05, 1.6923220766857347e-05, 1.6923220766857347e-05, -2.574373440806977e-05, 0.0001419232207668574, 1.0029063278268409, 1.6923220766857347e-05, 1.6923220766857347e-05, 1.6923220766857347e-05]","[-5.247618385447879e-06, -2.4293832198917643e-05, 2.250092233178149e-05, -6.118566022817391e-06, -1.7929098671361482e-06, 1.6874178672815222e-05, -1.4764906338713317e-05, -5.247618385447873e-06, -8.709476373695062e-07, 1.6874178672815222e-05, 1.6874178672815222e-05, 3.3783132633291415e-21, -2.566913119505085e-05, 0.0001415119390117177, 0.999999988240404, 1.6874178672815222e-05, 3.3783132633291415e-21, 1.6874178672815222e-05]"
start_1,1.9524353528561253e-28,1.6792123247455493e-15,200,76,9,"[-4.697948851031459e-06, 1.0786322025686578e-05, -9.438031772475754e-06, 1.0786322025686578e-05, 1.0786322025686575e-05, 1.0786322025686578e-05, 1.0786322025686575e-05, 1.0786322025686578e-05, 3.4571170786619525e-05, 0.0001357863220256866, 1.0007223154255456, 1.0786322025686578e-05, 1.0786322025686575e-05, 1.0786322025686578e-05]","[-3.3519643790202893e-06, -1.5517908159344558e-05, 1.4372670535720848e-05, -3.908290171412172e-06, -1.145237623623703e-06, 1.077853641060316e-05, -9.431219359277763e-06, -3.3519643790202876e-06, -5.563257923918762e-07, 1.077853641060316e-05, 1.0778536410603157e-05, 3.3856862204630306e-21, 3.454621716219716e-05, 0.00013568831085613618, 0.9999999896193315, 1.077853641060316e-05, 0.0, 1.077853641060316e-05]"
start_1,2.1744195089071805e-28,2.8206603719382883e-15,200,76,9,"[-6.70262915271273e-06, 1.5388996081564655e-05, -1.3465371571369072e-05, 1.5388996081564655e-05, 1.5388996081564655e-05, 1.5388996081564655e-05, 1.5388996081564655e-05, 1.5388996081564655e-05, -1.0665008109397447e-05, 0.0001403889960815647, 1.0023603247265171, 1.5388996081564655e-05, 1.5388996081564655e-05, 1.5388996081564655e-05]","[-4.774479332909938e-06, -2.2103436498463027e-05, 2.0472180092671383e-05, -5.566900044408105e-06, -1.631256405791642e-06, 1.5352758416389638e-05, -1.3433663614340932e-05, -4.774479332909934e-06, -7.924207114981626e-07, 1.5352758416389638e-05, 1.5352758416389638e-05, 3.3801534917528128e-21, -1.0639894385870013e-05, 0.00014005841120082936, 0.9999999889619461, 1.5352758416389638e-05, 3.3801534917528128e-21, 1.5352758416389638e-05]"
start_1,2.020657371212703e-28,1.7763568394002505e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 6.25e-05, 0.0, 0.0, 0.0, 0.0001875, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.249999877929691e-05, 0.0, 0.0, 0.0, 0.00018749999633789076, 0.9999999804687506, 0.0, 0.0, 0.0]"
start_1,1.4465818672272518e-28,2.3271315430228867e-15,200,76,9,"[0.0, 6.25e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001875, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 6.249999877929691e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00018749999633789076, 0.9999999804687506, 0.0, 0.0, 0.0]"
start_1,1.5105119702233157e-28,1.7208456881689926e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001875, 1.0, 6.25e-05, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00018749999633789076, 0.9999999804687506, 6.249999877929691e-05, 0.0, 0.0]"
start_1,1.7836554630261478e-28,1.582067810090848e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001875, 1.0, 0.0, 0.0, 6.25e-05]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00018749999633789076, 0.9999999804687506, 0.0, 0.0, 6.249999877929691e-05]"
