term_id,coordinate,value,expected,abs_error,matches
t18,"E1[1,1]",0.0,0.0,0.0,True
t18,"E1[1,2]",-1.0,-1.0,0.0,True
t18,"E1[2,0]",0.0,0.0,0.0,True
t18,"E1[2,1]",0.0,0.0,0.0,True
t18,"E1[2,2]",0.0,0.0,0.0,True
t18,"E2[0,0]",0.0,0.0,0.0,True
t18,"E2[0,1]",0.0,0.0,0.0,True
t18,"E2[0,2]",0.0,0.0,0.0,True
t18,"E2[1,0]",0.0,0.0,0.0,True
t18,"E2[1,1]",0.0,0.0,0.0,True
t18,"E2[1,2]",1.0,1.0,0.0,True
t18,"E2[2,0]",0.0,0.0,0.0,True
t18,"E2[2,1]",0.0,0.0,0.0,True
t18,"E2[2,2]",0.0,0.0,0.0,True
t19,"E1[0,0]",0.0,0.0,0.0,True
t19,"E1[0,1]",0.0,0.0,0.0,True
t19,"E1[0,2]",0.0,0.0,0.0,True
t19,"E1[1,0]",0.0,0.0,0.0,True
t19,"E1[1,1]",0.0,0.0,0.0,True
t19,"E1[1,2]",0.0,0.0,0.0,True
t19,"E1[2,0]",0.0,0.0,0.0,True
t19,"E1[2,1]",0.0,0.0,0.0,True
t19,"E1[2,2]",0.0,0.0,0.0,True
t19,"E2[0,0]",0.0,0.0,0.0,True
t19,"E2[0,1]",0.0,0.0,0.0,True
t19,"E2[0,2]",0.0,0.0,0.0,True
t19,"E2[1,0]",0.0,0.0,0.0,True
t19,"E2[1,1]",0.0,0.0,0.0,True
t19,"E2[1,2]",0.0,0.0,0.0,True
t19,"E2[2,0]",-1.0,-1.0,0.0,True
t19,"E2[2,1]",0.0,0.0,0.0,True
t19,"E2[2,2]",0.0,0.0,0.0,True
t20,"E1[0,0]",0.0,0.0,0.0,True
t20,"E1[0,1]",0.0,0.0,0.0,True
t20,"E1[0,2]",0.0,0.0,0.0,True
t20,"E1[1,0]",0.0,0.0,0.0,True
t20,"E1[1,1]",0.0,0.0,0.0,True
t20,"E1[1,2]",-1.0,-1.0,0.0,True
t20,"E1[2,0]",0.0,0.0,0.0,True
t20,"E1[2,1]",0.0,0.0,0.0,True
t20,"E1[2,2]",0.0,0.0,0.0,True
t20,"E2[0,0]",0.0,0.0,0.0,True
t20,"E2[0,1]",0.0,0.0,0.0,True
t20,"E2[0,2]",0.0,0.0,0.0,True
t20,"E2[1,0]",0.0,0.0,0.0,True
t20,"E2[1,1]",0.0,0.0,0.0,True
t20,"E2[1,2]",0.0,0.0,0.0,True
t20,"E2[2,0]",0.0,0.0,0.0,True
t20,"E2[2,1]",0.0,0.0,0.0,True
t20,"E2[2,2]",0.0,0.0,0.0,True
t21,"E1[0,0]",0.0,0.0,0.0,True
t21,"E1[0,1]",0.0,0.0,0.0,True
t21,"E1[0,2]",0.0,0.0,0.0,True
t21,"E1[1,0]",1.0,1.0,0.0,True
t21,"E1[1,1]",0.0,0.0,0.0,True
t21,"E1[1,2]",1.0,1.0,0.0,True
t21,"E1[2,0]",1.0,1.0,0.0,True
t21,"E1[2,1]",0.0,0.0,0.0,True
t21,"E1[2,2]",1.0,1.0,0.0,True
t21,"E2[0,0]",0.0,0.0,0.0,True
t21,"E2[0,1]",0.0,0.0,0.0,True
t21,"E2[0,2]",0.0,0.0,0.0,True
t21,"E2[1,0]",-1.0,-1.0,0.0,True
t21,"E2[1,1]",0.0,0.0,0.0,True
t21,"E2[1,2]",-1.0,-1.0,0.0,True
t21,"E2[2,0]",-1.0,-1.0,0.0,True
t21,"E2[2,1]",0.0,0.0,0.0,True
t21,"E2[2,2]",-1.0,-1.0,0.0,True
t22,"E1[0,0]",0.0,0.0,0.0,True
t22,"E1[0,1]",0.0,0.0,0.0,True
t22,"E1[0,2]",0.0,0.0,0.0,True
t22,"E1[1,0]",0.0,0.0,0.0,True
t22,"E1[1,1]",0.0,0.0,0.0,True
t22,"E1[1,2]",0.0,0.0,0.0,True
t22,"E1[2,0]",0.0,0.0,0.0,True
t22,"E1[2,1]",0.0,0.0,0.0,True
t22,"E1[2,2]",0.0,0.0,0.0,True
t22,"E2[0,0]",0.0,0.0,0.0,True
t22,"E2[0,1]",0.0,0.0,0.0,True
t22,"E2[0,2]",0.0,0.0,0.0,True
t22,"E2[1,0]",0.0,0.0,0.0,True
t22,"E2[1,1]",0.0,0.0,0.0,True
t22,"E2[1,2]",-1.0,-1.0,0.0,True
t22,"E2[2,0]",0.0,0.0,0.0,True
t22,"E2[2,1]",0.0,0.0,0.0,True
t22,"E2[2,2]",0.0,0.0,0.0,True
t23,"E1[0,0]",0.0,0.0,0.0,True
t23,"E1[0,1]",0.0,0.0,0.0,True
t23,"E1[0,2]",0.0,0.0,0.0,True
t23,"E1[1,0]",0.0,0.0,0.0,True
t23,"E1[1,1]",0.0,0.0,0.0,True
t23,"E1[1,2]",0.0,0.0,0.0,True
t23,"E1[2,0]",1.0,1.0,0.0,True
t23,"E1[2,1]",0.0,0.0,0.0,True
t23,"E1[2,2]",0.0,0.0,0.0,True
t23,"E2[0,0]",0.0,0.0,0.0,True
t23,"E2[0,1]",0.0,0.0,0.0,True
t23,"E2[0,2]",0.0,0.0,0.0,True
t23,"E2[1,0]",0.0,0.0,0.0,True
t23,"E2[1,1]",0.0,0.0,0.0,True
t23,"E2[1,2]",0.0,0.0,0.0,True
t23,"E2[2,0]",-1.0,-1.0,0.0,True
t23,"E2[2,1]",0.0,0.0,0.0,True
t23,"E2[2,2]",0.0,0.0,0.0,True
