base_label,candidate,t_value,R,tensor_max_abs_residual,tensor_loss,kernel_dim,restricted_rank,kappa_ker,kappa_full,soft_lambda_h_max_abs,soft_lambda_gamma_max_abs,base_candidate_angle_deg,soft_mode_rotation_deg
standard_rank27,random_kernel_direction_1,0.3,27,2.220446049250313e-16,4.5606021083089745e-31,18,18,0.702644246903112,0.7026442469031109,0.5105844480872735,2.220446049250313e-16,9.800253853510325,85.2073397767659
standard_rank27,random_kernel_direction_1,0.4,27,3.3306690738754696e-16,3.697785493223493e-31,18,18,0.6041243437738725,0.6041243437738724,0.4407237905187148,2.220446049250313e-16,14.972845284888962,85.21866400845079
standard_rank27,random_kernel_direction_1,0.5,27,2.220446049250313e-16,2.9582283945787943e-31,18,18,0.5064757579719705,0.5064757579719711,0.37002523707663404,2.220446049250313e-16,21.69044217740542,85.24142884952835
standard_rank27,random_kernel_direction_1,0.6,27,3.3306690738754696e-16,3.821045009664276e-31,18,18,0.4103800889794054,0.4103800889794055,0.2995130697272257,4.440892098500626e-16,30.420004105073772,85.29047878991445
standard_rank27,random_kernel_direction_1,0.7,27,2.220446049250313e-16,2.9582283945787943e-31,18,18,0.3171974939361642,0.3171974939361644,0.23068573294870465,1.9334085646671503e-17,41.49075134327923,85.40769003056077
standard_rank27,random_kernel_direction_1,0.8,27,2.220446049250313e-16,1.1093356479670479e-31,18,18,0.23023072644002576,0.2302307264400258,0.16641053352087554,8.881784197001252e-16,54.65974455516016,85.73298676283416
standard_rank27,random_kernel_direction_1,0.9,27,3.3306690738754696e-16,3.5745259767827097e-31,18,18,0.15931853997550985,0.15931853997550968,0.11413414707783687,1.7763568394002505e-15,69.13418332070086,86.79660508283676
standard_rank27,random_kernel_direction_1,1.0,27,3.3306690738754696e-16,4.190823558986625e-31,18,18,0.08198406982723286,0.08198406982723294,0.08198364923328244,1.7763568394002505e-15,89.99999999999996,90.0
standard_rank27,random_kernel_direction_2,0.0,27,0.0,0.0,18,18,0.9999999999999996,0.9999999999999996,0.6924861328562251,1.1102230246251565e-16,0.0,0.0
standard_rank27,random_kernel_direction_2,0.1,27,3.3306690738754696e-16,7.888609052210118e-31,18,18,0.9000015160863316,0.9000015160863315,0.6367239386151067,1.1102230246251565e-16,1.9898816518241662,85.19782795713765
standard_rank27,random_kernel_direction_2,0.2,27,3.3306690738754696e-16,5.7931972727168054e-31,18,18,0.8000030285395057,0.800003028539505,0.5662038354930532,2.042628130615919e-18,4.458979992421818,85.19783325944852
standard_rank27,random_kernel_direction_2,0.3,27,2.220446049250313e-16,2.465190328815662e-31,18,18,0.7000049265672146,0.7000049265672141,0.4955710555174932,2.6014681667238145e-17,7.57629056205934,85.19784420605671
standard_rank27,random_kernel_direction_2,0.4,27,2.220446049250313e-16,3.944304526105059e-31,18,18,0.6000077285959861,0.6000077285959856,0.42485021956072816,2.220446049250313e-16,11.586708977440509,85.1978657010669
standard_rank27,random_kernel_direction_2,0.5,27,2.220446049250313e-16,3.821045009664276e-31,18,18,0.500012211473124,0.5000122114731244,0.3540660903544627,2.220446049250313e-16,16.843270235511167,85.19790962340933
standard_rank27,random_kernel_direction_2,0.6,27,3.3306690738754696e-16,5.423418723394456e-31,18,18,0.4000197334357881,0.40001973343578734,0.2832438144587013,2.220446049250313e-16,23.838168063584273,85.19800719488076
standard_rank27,random_kernel_direction_2,0.7,27,3.3306690738754696e-16,5.053640174072107e-31,18,18,0.3000332028175846,0.3000332028175848,0.21240962100670388,4.440892098500626e-16,33.223244507611525,85.19825643419043
standard_rank27,random_kernel_direction_2,0.8,27,3.3306690738754696e-16,5.053640174072107e-31,18,18,0.2000609510749312,0.2000609510749311,0.14159357418455482,8.129897457873594e-16,45.95660069510657,85.1990817312484
standard_rank27,random_kernel_direction_2,0.9,27,3.3306690738754696e-16,3.0814879110195774e-31,18,18,0.1001437987730276,0.10014379877302731,0.07084872556633479,1.3496696544586954e-16,64.15125553177913,85.20416114680195
standard_rank27,random_kernel_direction_2,1.0,27,3.3306690738754696e-16,3.0814879110195774e-31,18,18,0.005706537391332286,0.005706537391332273,0.004035131661460726,1.4210854715202004e-14,89.99999999999963,89.9863143674031
