term_id,fiber,eta1,eta2,xi_plus,xi_minus,xi_plus_formula_holds,xi_minus_formula_holds,conjugacy_holds
t20,"(0,0)",0,0,0,0,True,True,True
t20,"(0,1)",0,0,0,0,True,True,True
t20,"(0,2)",0,0,0,0,True,True,True
t20,"(1,0)",0,0,0,0,True,True,True
t20,"(1,1)",0,0,0,0,True,True,True
t20,"(1,2)",-1,0,-1,-1,True,True,True
t20,"(2,0)",0,0,0,0,True,True,True
t20,"(2,1)",0,0,0,0,True,True,True
t20,"(2,2)",0,0,0,0,True,True,True
t21,"(0,0)",0,0,0,0,True,True,True
t21,"(0,1)",0,0,0,0,True,True,True
t21,"(0,2)",0,0,0,0,True,True,True
t21,"(1,0)",1,-1,1/2 - sqrt(3)*I/2,1/2 + sqrt(3)*I/2,True,True,True
t21,"(1,1)",0,0,0,0,True,True,True
t21,"(1,2)",1,-1,1/2 - sqrt(3)*I/2,1/2 + sqrt(3)*I/2,True,True,True
t21,"(2,0)",1,-1,1/2 - sqrt(3)*I/2,1/2 + sqrt(3)*I/2,True,True,True
t21,"(2,1)",0,0,0,0,True,True,True
t21,"(2,2)",1,-1,1/2 - sqrt(3)*I/2,1/2 + sqrt(3)*I/2,True,True,True
t22,"(0,0)",0,0,0,0,True,True,True
t22,"(0,1)",0,0,0,0,True,True,True
t22,"(0,2)",0,0,0,0,True,True,True
t22,"(1,0)",0,0,0,0,True,True,True
t22,"(1,1)",0,0,0,0,True,True,True
t22,"(1,2)",0,-1,-1/2 - sqrt(3)*I/2,-1/2 + sqrt(3)*I/2,True,True,True
t22,"(2,0)",0,0,0,0,True,True,True
t22,"(2,1)",0,0,0,0,True,True,True
t22,"(2,2)",0,0,0,0,True,True,True
t23,"(0,0)",0,0,0,0,True,True,True
t23,"(0,1)",0,0,0,0,True,True,True
t23,"(0,2)",0,0,0,0,True,True,True
t23,"(1,0)",0,0,0,0,True,True,True
t23,"(1,1)",0,0,0,0,True,True,True
t23,"(1,2)",0,0,0,0,True,True,True
t23,"(2,0)",1,-1,1/2 - sqrt(3)*I/2,1/2 + sqrt(3)*I/2,True,True,True
t23,"(2,1)",0,0,0,0,True,True,True
t23,"(2,2)",0,0,0,0,True,True,True
