decomposition_id,source,source_detail,rank_H_numeric,rank_Delta_numeric,rank_HDelta_numeric,delta_in_eta_numeric,projection_max_residual_numeric,projection_nonzero_count_numeric,projection_unique_nonzero_coefficients_numeric,projection_allclose_to_integer_numeric,rank_Nuisance_numeric,rank_Sigma_numeric,quotient_gain_numeric,max_abs_residual,loss_value,rank_H_exact,rank_Delta_exact,rank_HDelta_exact,rank_Nuisance_exact,rank_Sigma_exact,quotient_gain_exact,eta_nullity_exact,delta_in_eta_exact,projection_nonzero_count,projection_unique_nonzero_coefficients,projection_integral,projection_support_min,projection_support_max
sym_170,symmetry_orbit,"action_id=170;((2, 0, 1), (2, 0, 1), (1, 0, 2))",14,10,14,True,1.3600232051658168e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,58,"['-1', '1']",True,0,6
sym_171,symmetry_orbit,"action_id=171;((2, 0, 1), (2, 0, 1), (1, 2, 0))",14,10,14,True,1.6930901125533637e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,60,"['-1', '1', '2']",True,0,6
sym_172,symmetry_orbit,"action_id=172;((2, 0, 1), (2, 0, 1), (2, 0, 1))",14,10,14,True,1.3322676295501878e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,58,"['-1', '1']",True,0,6
sym_173,symmetry_orbit,"action_id=173;((2, 0, 1), (2, 0, 1), (2, 1, 0))",14,10,14,True,1.3322676295501878e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,60,"['-1', '1', '2']",True,0,6
sym_174,symmetry_orbit,"action_id=174;((2, 0, 1), (2, 1, 0), (0, 1, 2))",14,10,14,True,2.009170838140686e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,44,"['-1', '1']",True,0,4
sym_175,symmetry_orbit,"action_id=175;((2, 0, 1), (2, 1, 0), (0, 2, 1))",14,10,14,True,1.2902409700839646e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,45,"['-1', '1', '2']",True,0,5
sym_176,symmetry_orbit,"action_id=176;((2, 0, 1), (2, 1, 0), (1, 0, 2))",14,10,14,True,1.970645868709653e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,44,"['-1', '1']",True,0,4
sym_177,symmetry_orbit,"action_id=177;((2, 0, 1), (2, 1, 0), (1, 2, 0))",14,10,14,True,1.6653345369377348e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,45,"['-1', '1', '2']",True,0,5
sym_178,symmetry_orbit,"action_id=178;((2, 0, 1), (2, 1, 0), (2, 0, 1))",14,10,14,True,2.1094237467877974e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,44,"['-1', '1']",True,0,4
sym_179,symmetry_orbit,"action_id=179;((2, 0, 1), (2, 1, 0), (2, 1, 0))",14,10,14,True,1.6430320692823748e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,45,"['-1', '1', '2']",True,0,5
