base_label,trial_index,R,annihilator_projection_residual,rank_H_numeric,restricted_rank_numeric,functional_defect_dim_numeric,lambda_kernel_distance,tensor_max_abs_residual,tensor_loss
standard_rank27,44,27,2.983724378680108e-16,18,18,0,1.4142135623730947,2.220446049250313e-16,2.0954117794933126e-31
standard_rank27,45,27,1.3530843112619095e-16,18,18,0,1.4142135623730947,2.220446049250313e-16,2.834968878138011e-31
standard_rank27,46,27,3.642919299551295e-16,18,18,0,1.4142135623730916,3.3306690738754696e-16,1.9721522630525295e-31
standard_rank27,47,27,3.946495907847236e-16,18,18,0,1.41421356237309,2.220446049250313e-16,2.341930812374879e-31
standard_rank27,48,27,9.506284648352903e-16,18,18,0,1.4142135623730927,3.3306690738754696e-16,4.067564042545842e-31
standard_rank27,49,27,3.70161637969672e-15,18,18,0,1.4142135623730938,2.220446049250313e-16,3.0814879110195774e-31
standard_rank27,50,27,1.1102230246251565e-15,18,18,0,1.4142135623730931,2.220446049250313e-16,2.588449845256445e-31
standard_rank27,51,27,6.38378239159465e-16,18,18,0,1.41421356237309,2.220446049250313e-16,3.3280069439011436e-31
standard_rank27,52,27,3.778227730677486e-15,18,18,0,1.41421356237306,2.220446049250313e-16,3.944304526105059e-31
standard_rank27,53,27,1.3114509478384662e-15,18,18,0,1.41421356237309,3.3306690738754696e-16,2.9582283945787943e-31
standard_rank27,54,27,2.441623292437356e-16,18,18,0,1.4142135623730907,3.3306690738754696e-16,4.190823558986625e-31
standard_rank27,55,27,4.0939474033052647e-16,18,18,0,1.414213562373094,2.220446049250313e-16,3.697785493223493e-31
standard_rank27,56,27,6.765421556309548e-16,18,18,0,1.4142135623730858,2.220446049250313e-16,1.8488927466117464e-31
standard_rank27,57,27,3.913536161803677e-15,18,18,0,1.414213562373092,3.3306690738754696e-16,6.162975822039155e-31
standard_rank27,58,27,4.2674197509029455e-16,18,18,0,1.414213562373094,3.3306690738754696e-16,2.588449845256445e-31
standard_rank27,59,27,2.5326962749261384e-16,18,18,0,1.414213562373094,2.220446049250313e-16,3.4512664603419266e-31
standard_rank27,60,27,5.204170427930421e-16,18,18,0,1.414213562373092,2.220446049250313e-16,2.341930812374879e-31
standard_rank27,61,27,1.5794657248768829e-15,18,18,0,1.4142135623730911,3.3306690738754696e-16,4.314083075427408e-31
standard_rank27,62,27,2.3939183968479938e-15,18,18,0,1.4142135623730898,3.3306690738754696e-16,3.821045009664276e-31
standard_rank27,63,27,9.783840404509192e-16,18,18,0,1.414213562373092,2.220446049250313e-16,2.0954117794933126e-31
standard_rank27,64,27,4.145989107584569e-16,18,18,0,1.4142135623730943,2.220446049250313e-16,3.944304526105059e-31
standard_rank27,65,27,2.498001805406602e-16,18,18,0,1.4142135623730945,2.220446049250313e-16,1.6023737137301802e-31
standard_rank27,66,27,5.443562267615221e-15,18,18,0,1.4142135623730299,2.220446049250313e-16,1.8488927466117464e-31
standard_rank27,67,27,5.304784389537076e-15,18,18,0,1.4142135623730918,3.3306690738754696e-16,3.697785493223493e-31
standard_rank27,68,27,1.8943180357666733e-15,18,18,0,1.4142135623730925,2.220446049250313e-16,2.588449845256445e-31
standard_rank27,69,27,4.579669976578771e-16,18,18,0,1.4142135623730938,3.3306690738754696e-16,5.423418723394456e-31
standard_rank27,70,27,1.625522633164067e-14,18,18,0,1.4142135623730776,3.3306690738754696e-16,4.067564042545842e-31
standard_rank27,71,27,1.1423154089307275e-15,18,18,0,1.414213562373091,2.220446049250313e-16,1.9721522630525295e-31
standard_rank27,72,27,3.23227772672241e-16,18,18,0,1.4142135623730192,2.220446049250313e-16,2.341930812374879e-31
standard_rank27,73,27,5.30825383648903e-15,18,18,0,1.414213562373086,3.3306690738754696e-16,2.9582283945787943e-31
standard_rank27,74,27,8.951173136040325e-16,18,18,0,1.414213562373093,3.3306690738754696e-16,2.711709361697228e-31
standard_rank27,75,27,1.8041124150158794e-15,18,18,0,1.4142135623730165,2.220446049250313e-16,1.9721522630525295e-31
standard_rank27,76,27,3.469446951953614e-16,18,18,0,1.4142135623730945,2.220446049250313e-16,1.232595164407831e-31
standard_rank27,77,27,1.7669446193044732e-15,18,18,0,1.414213562373095,2.220446049250313e-16,2.588449845256445e-31
standard_rank27,78,27,2.2898349882893854e-16,18,18,0,1.414213562373094,3.3306690738754696e-16,4.314083075427408e-31
standard_rank27,79,27,5.273559366969494e-16,18,18,0,1.4142135623730938,2.220446049250313e-16,3.0814879110195774e-31
standard_rank27,80,27,1.7069679003611782e-15,18,18,0,1.414213562373086,2.220446049250313e-16,1.232595164407831e-31
