base_label,policy_name,rotation_cap_deg,total_budget,accepted_steps,wildcard_wins,budget_used,initial_kappa_ker,final_kappa_ker,total_gain,feasible_descent
alphatensor_rank23_transpose,sharpen_rot5p0_budget0p1,5.0,0.1,1,0,0.09713266268428107,0.6245923009701738,0.6053488503195167,0.019243450650657135,1
standard_rank27,sharpen_rot5p0_budget0p1,5.0,0.1,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p0_budget0p2,5.0,0.2,2,2,0.19992513922805571,0.6245923009701738,0.5913058055955877,0.03328649537458617,1
standard_rank27,sharpen_rot5p0_budget0p2,5.0,0.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p0_budget0p4,5.0,0.4,3,3,0.3999654868577601,0.6245923009701738,0.5607782479627879,0.06381405300738596,1
standard_rank27,sharpen_rot5p0_budget0p4,5.0,0.4,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p0_budget0p8,5.0,0.8,4,3,0.7986575851693607,0.6245923009701738,0.5088015983159504,0.11579070265422342,1
standard_rank27,sharpen_rot5p0_budget0p8,5.0,0.8,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p0_budget1p2,5.0,1.2,8,8,1.1997671932988168,0.6245923009701738,0.44945132457859177,0.17514097639158205,1
standard_rank27,sharpen_rot5p0_budget1p2,5.0,1.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p0_budget2p0,5.0,2.0,11,10,1.999999151495366,0.6245923009701738,0.36230146020860965,0.26229084076156417,1
standard_rank27,sharpen_rot5p0_budget2p0,5.0,2.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p0_budget3p0,5.0,3.0,13,13,2.9987997471782983,0.6245923009701738,0.2833252152913934,0.34126708567878045,1
standard_rank27,sharpen_rot5p0_budget3p0,5.0,3.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p5_budget0p02,5.5,0.02,2,2,0.01971579582362114,0.6245923009701738,0.6214822367595509,0.003110064210622876,1
standard_rank27,sharpen_rot5p5_budget0p02,5.5,0.02,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p5_budget0p05,5.5,0.05,3,3,0.04998596851910909,0.6245923009701738,0.6159335484156808,0.008658752554492999,1
standard_rank27,sharpen_rot5p5_budget0p05,5.5,0.05,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p5_budget0p1,5.5,0.1,1,0,0.09713266268428107,0.6245923009701738,0.6053488503195167,0.019243450650657135,1
standard_rank27,sharpen_rot5p5_budget0p1,5.5,0.1,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p5_budget0p2,5.5,0.2,2,2,0.19999810103861032,0.6245923009701738,0.5945876559385618,0.030004645031612043,1
standard_rank27,sharpen_rot5p5_budget0p2,5.5,0.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p5_budget0p4,5.5,0.4,3,2,0.3993842686999613,0.6245923009701738,0.5566921138242451,0.06790018714592871,1
standard_rank27,sharpen_rot5p5_budget0p4,5.5,0.4,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p5_budget0p8,5.5,0.8,4,4,0.7979585609545317,0.6245923009701738,0.5055693454167655,0.11902295555340836,1
standard_rank27,sharpen_rot5p5_budget0p8,5.5,0.8,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p5_budget1p2,5.5,1.2,6,6,1.1997736671427726,0.6245923009701738,0.455553680248525,0.16903862072164882,1
standard_rank27,sharpen_rot5p5_budget1p2,5.5,1.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p5_budget2p0,5.5,2.0,10,10,1.998798509602836,0.6245923009701738,0.370958717687354,0.2536335832828198,1
standard_rank27,sharpen_rot5p5_budget2p0,5.5,2.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p5_budget3p0,5.5,3.0,14,14,2.9989234516261765,0.6245923009701738,0.28590061258137583,0.338691688388798,1
standard_rank27,sharpen_rot5p5_budget3p0,5.5,3.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p0_budget0p02,6.0,0.02,2,2,0.019876155868602162,0.6245923009701738,0.6215348839189976,0.0030574170511762366,1
standard_rank27,sharpen_rot6p0_budget0p02,6.0,0.02,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p0_budget0p05,6.0,0.05,1,1,0.04807097462805285,0.6245923009701738,0.6171036562336005,0.007488644736573291,1
standard_rank27,sharpen_rot6p0_budget0p05,6.0,0.05,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p0_budget0p1,6.0,0.1,1,0,0.09713266268428107,0.6245923009701738,0.6053488503195167,0.019243450650657135,1
standard_rank27,sharpen_rot6p0_budget0p1,6.0,0.1,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p0_budget0p2,6.0,0.2,2,1,0.19849968453541095,0.6245923009701738,0.587467525236647,0.037124775733526794,1
standard_rank27,sharpen_rot6p0_budget0p2,6.0,0.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p0_budget0p4,6.0,0.4,4,4,0.3997653568963196,0.6245923009701738,0.5560472810234767,0.06854501994669715,1
standard_rank27,sharpen_rot6p0_budget0p4,6.0,0.4,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p0_budget0p8,6.0,0.8,5,5,0.799747428019338,0.6245923009701738,0.5048489814061741,0.11974331956399975,1
standard_rank27,sharpen_rot6p0_budget0p8,6.0,0.8,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p0_budget1p2,6.0,1.2,8,8,1.199837509588099,0.6245923009701738,0.45408461746816375,0.17050768350201007,1
standard_rank27,sharpen_rot6p0_budget1p2,6.0,1.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p0_budget2p0,6.0,2.0,10,10,1.999413621901763,0.6245923009701738,0.36302904941623976,0.26156325155393406,1
standard_rank27,sharpen_rot6p0_budget2p0,6.0,2.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p0_budget3p0,6.0,3.0,14,13,2.999190497325741,0.6245923009701738,0.27314753713608597,0.35144476383408785,1
standard_rank27,sharpen_rot6p0_budget3p0,6.0,3.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p5_budget0p02,6.5,0.02,2,2,0.017883046215927473,0.6245923009701738,0.6216839435976801,0.0029083573724937306,1
standard_rank27,sharpen_rot6p5_budget0p02,6.5,0.02,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p5_budget0p05,6.5,0.05,2,2,0.049185202148691855,0.6245923009701738,0.6155870438887582,0.00900525708141564,1
standard_rank27,sharpen_rot6p5_budget0p05,6.5,0.05,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p5_budget0p1,6.5,0.1,1,0,0.09713266268428107,0.6245923009701738,0.6053488503195167,0.019243450650657135,1
standard_rank27,sharpen_rot6p5_budget0p1,6.5,0.1,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p5_budget0p2,6.5,0.2,2,2,0.19793227402299135,0.6245923009701738,0.5905004195968988,0.03409188137327501,1
standard_rank27,sharpen_rot6p5_budget0p2,6.5,0.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p5_budget0p4,6.5,0.4,3,2,0.3999024253897063,0.6245923009701738,0.5559297992387141,0.06866250173145971,1
standard_rank27,sharpen_rot6p5_budget0p4,6.5,0.4,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p5_budget0p8,6.5,0.8,5,4,0.7995263138459706,0.6245923009701738,0.49968441226906785,0.12490788870110597,1
standard_rank27,sharpen_rot6p5_budget0p8,6.5,0.8,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p5_budget1p2,6.5,1.2,6,6,1.1992576952119427,0.6245923009701738,0.44987853080420315,0.17471377016597067,1
standard_rank27,sharpen_rot6p5_budget1p2,6.5,1.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p5_budget2p0,6.5,2.0,10,10,1.9987665979194085,0.6245923009701738,0.3587066845604982,0.2658856164096756,1
standard_rank27,sharpen_rot6p5_budget2p0,6.5,2.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot6p5_budget3p0,6.5,3.0,16,16,2.9997205800707403,0.6245923009701738,0.2716357186887255,0.35295658228144833,1
standard_rank27,sharpen_rot6p5_budget3p0,6.5,3.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot7p0_budget0p02,7.0,0.02,2,2,0.018763269105191476,0.6245923009701738,0.6216918558634918,0.0029004451066819703,1
standard_rank27,sharpen_rot7p0_budget0p02,7.0,0.02,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot7p0_budget0p05,7.0,0.05,1,1,0.04699192937655706,0.6245923009701738,0.616699749122391,0.007892551847782814,1
standard_rank27,sharpen_rot7p0_budget0p05,7.0,0.05,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot7p0_budget0p1,7.0,0.1,1,0,0.09713266268428107,0.6245923009701738,0.6053488503195167,0.019243450650657135,1
standard_rank27,sharpen_rot7p0_budget0p1,7.0,0.1,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot7p0_budget0p2,7.0,0.2,1,1,0.1992148234405483,0.6245923009701738,0.5904255337225097,0.0341667672476641,1
standard_rank27,sharpen_rot7p0_budget0p2,7.0,0.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot7p0_budget0p4,7.0,0.4,3,2,0.3994123351022892,0.6245923009701738,0.5564607334882505,0.06813156748192328,1
