search_id,rank,strategy,init_detail,seed,final_loss,final_max_abs,exact_hit,rank_H_numeric,rank_Delta_numeric,rank_Nuisance_numeric,quotient_gain_numeric,delta_in_eta_numeric,projection_max_residual_numeric,border_tail_norm
cold22_0057,22,cold_random,cold22,623057,1.9980166423290564,0.21120514283810965,False,18,22,22,0,False,0.03222389479860666,
cold22_0053,22,cold_random,cold22,623053,1.0160648617793588,0.21134613563566473,False,18,22,22,0,False,0.05910492886228691,
border23_0015,22,border_vanishing_tail,rank23_with_penalized_last_term,777015,1.0016679737645868,0.21556623780703854,False,18,22,22,0,False,0.028931260519687058,0.29027310109818977
cold22_0002,22,cold_random,cold22,623002,1.0044622385444357,0.2162932642100609,False,18,22,22,0,False,0.018356616074594267,
cold22_0068,22,cold_random,cold22,623068,1.0260656991462669,0.21633588425771244,False,18,22,22,0,False,0.04880785332571086,
cold22_0123,22,cold_random,cold22,623123,1.052979523858435,0.21776945217676325,False,18,22,22,0,False,0.04306960035590113,
cold22_0179,22,cold_random,cold22,623179,1.018741722231261,0.22005345760690098,False,18,22,22,0,False,0.02624271898322572,
cold22_0131,22,cold_random,cold22,623131,1.030637708578039,0.2223078799284368,False,18,22,22,0,False,0.03662569383311465,
cold22_0197,22,cold_random,cold22,623197,1.0037019721637355,0.22429379463205223,False,18,22,22,0,False,0.013373257273216504,
cold22_0132,22,cold_random,cold22,623132,1.0167044613106708,0.2249399612758034,False,18,22,22,0,False,0.022505984833868564,
cold22_0061,22,cold_random,cold22,623061,1.031383625336205,0.22549584595656125,False,18,22,22,0,False,0.020978410319472098,
cold22_0111,22,cold_random,cold22,623111,1.0057292478244657,0.2256349807254836,False,18,22,22,0,False,0.054005388908441976,
cold22_0010,22,cold_random,cold22,623010,1.003857995787526,0.22635548192605004,False,18,22,22,0,False,0.011605278591465151,
cold22_0060,22,cold_random,cold22,623060,1.015274295911924,0.22638115955688676,False,18,22,22,0,False,0.01430881552837441,
cold22_0231,22,cold_random,cold22,623231,1.0443015852021778,0.22676644990217976,False,18,22,22,0,False,0.08615276536150596,
cold22_0242,22,cold_random,cold22,623242,2.000748064261136,0.2272857350055626,False,18,22,22,0,False,0.08116130741327628,
cold22_0190,22,cold_random,cold22,623190,1.0203368155134291,0.22991969143182855,False,18,22,22,0,False,0.012183975632132443,
cold22_0207,22,cold_random,cold22,623207,2.002456195715928,0.2310925037094258,False,18,22,22,0,False,0.027510260193997993,
cold22_0084,22,cold_random,cold22,623084,1.009254193569002,0.23228222679284183,False,18,22,22,0,False,0.005724249259503628,
cold22_0249,22,cold_random,cold22,623249,1.0066802916442563,0.2368291009564253,False,18,22,22,0,False,0.0572684833477866,
cold22_0202,22,cold_random,cold22,623202,1.021089413562836,0.23757102609748326,False,18,22,22,0,False,0.06251738205998117,
cold22_0122,22,cold_random,cold22,623122,1.0029060402186285,0.23825954959563145,False,18,22,22,0,False,0.009125591307970589,
cold22_0070,22,cold_random,cold22,623070,2.002495627083403,0.23876258465010736,False,18,22,22,0,False,0.008226567563053067,
cold22_0088,22,cold_random,cold22,623088,1.0396075040821764,0.23885630842886696,False,18,22,22,0,False,0.06517826495570778,
border23_0029,22,border_vanishing_tail,rank23_with_penalized_last_term,777029,1.0006598031163316,0.24424125997326773,False,18,22,22,0,False,0.035395073092292124,0.3726659057531699
cold22_0092,22,cold_random,cold22,623092,1.010899312614753,0.24478786329499513,False,18,22,22,0,False,0.025238692697281878,
cold22_0006,22,cold_random,cold22,623006,2.0124560467795085,0.24489806202994568,False,18,22,22,0,False,0.07089130839851848,
cold22_0098,22,cold_random,cold22,623098,1.0092317378315487,0.24832188617324313,False,18,22,22,0,False,0.03367531322337174,
cold22_0128,22,cold_random,cold22,623128,2.005584755152382,0.24880614588622074,False,18,22,22,0,False,0.0191383604005143,
cold22_0000,22,cold_random,cold22,623000,1.0106688511710191,0.24942026550522123,False,18,22,22,0,False,0.01984401359332541,
cold22_0032,22,cold_random,cold22,623032,2.007619416261444,0.251686341627529,False,18,22,22,0,False,0.033962921941390056,
cold22_0001,22,cold_random,cold22,623001,2.0032378121234413,0.2538524770782502,False,18,22,22,0,False,0.00875512235045936,
cold22_0029,22,cold_random,cold22,623029,1.0040562015174301,0.2551828907483379,False,18,22,22,0,False,0.19521425758666994,
cold22_0196,22,cold_random,cold22,623196,1.0065009408883525,0.25613431749668614,False,18,22,22,0,False,0.011859105180013207,
cold22_0243,22,cold_random,cold22,623243,1.0151862492963684,0.25682264637422914,False,18,22,22,0,False,0.014703107991313358,
cold22_0071,22,cold_random,cold22,623071,2.000973518599773,0.2571533742083705,False,18,22,22,0,False,0.019437999161090597,
cold22_0156,22,cold_random,cold22,623156,1.0037538640086892,0.2577651774899422,False,18,22,22,0,False,0.04724703771797559,
warm22_0073,22,warm_alpha_seed,core_mask_100,50609,1.0003545549359267,0.25935169800189684,False,18,22,22,0,False,0.0039146105725766794,
cold22_0046,22,cold_random,cold22,623046,1.011611507872927,0.26058262098406204,False,18,22,22,0,False,0.02607288187037897,
cold22_0184,22,cold_random,cold22,623184,1.0247338387728746,0.2624764029297032,False,18,22,22,0,False,0.014057989636279977,
cold22_0160,22,cold_random,cold22,623160,1.0072064156962042,0.2628031001153669,False,18,22,22,0,False,0.012552053191281831,
cold22_0017,22,cold_random,cold22,623017,1.0224729756033475,0.2629616774518644,False,18,22,22,0,False,0.03352007986750757,
cold22_0157,22,cold_random,cold22,623157,1.0001241329519868,0.2637548214290639,False,18,22,22,0,False,0.0030105384271001956,
cold22_0033,22,cold_random,cold22,623033,1.0103957806187869,0.2642943905326284,False,18,22,22,0,False,0.01443456235089581,
cold22_0091,22,cold_random,cold22,623091,1.020645412491249,0.26461980950459574,False,18,22,22,0,False,0.15303836434564816,
warm22_0025,22,warm_alpha_seed,remove_t09_t12,40409,1.000000624344085,0.265342334261244,False,18,22,22,0,False,6.55917733226285e-05,
cold22_0039,22,cold_random,cold22,623039,1.999780471610277,0.26594363593033643,False,18,22,22,0,False,0.01225753177939854,
border23_0016,22,border_vanishing_tail,rank23_with_penalized_last_term,777016,1.0001453130372904,0.2700172028597293,False,18,22,22,0,False,0.0308917775758708,0.34929017109732385
cold22_0232,22,cold_random,cold22,623232,2.034298806155811,0.2720676570647711,False,18,22,22,0,False,0.283309566474538,
cold22_0150,22,cold_random,cold22,623150,2.000064834407036,0.27227527024920817,False,18,22,22,0,False,0.0009158371857089787,
cold22_0220,22,cold_random,cold22,623220,0.9743111999275866,0.2724898790158192,False,18,22,22,0,False,0.02831340427761524,
cold22_0104,22,cold_random,cold22,623104,1.027877554939836,0.2737199797242329,False,18,22,22,0,False,0.018298597368716862,
cold22_0224,22,cold_random,cold22,623224,2.0049235327227937,0.2749735476027789,False,18,22,22,0,False,0.01861443804356977,
cold22_0240,22,cold_random,cold22,623240,3.0002268608964355,0.27555706651197975,False,18,22,22,0,False,0.003504707404047576,
cold22_0073,22,cold_random,cold22,623073,2.0150542187040603,0.2758627312708406,False,18,22,22,0,False,0.07557686233594274,
cold22_0119,22,cold_random,cold22,623119,1.008092029774732,0.2767006513567887,False,18,22,22,0,False,0.057332918829213944,
cold22_0082,22,cold_random,cold22,623082,2.007862107209831,0.2776336749709333,False,18,22,22,0,False,0.008609464627416047,
cold22_0147,22,cold_random,cold22,623147,2.0019096879026677,0.2801267750879165,False,18,22,22,0,False,0.03149520173739234,
cold22_0191,22,cold_random,cold22,623191,1.0119864348805547,0.2802649764044802,False,18,22,22,0,False,0.05360267319392338,
cold22_0056,22,cold_random,cold22,623056,1.0107744344979288,0.2816630161245578,False,18,22,22,0,False,0.0074792578141061605,
cold22_0214,22,cold_random,cold22,623214,1.017649681030404,0.28309855594473843,False,18,22,22,0,False,0.027481558653278892,
warm22_0019,22,warm_alpha_seed,remove_t09_t12,40403,1.0000006120177514,0.28476028638694173,False,18,22,22,0,False,4.0379693813565927e-05,
warm22_0017,22,warm_alpha_seed,remove_t09_t12,40401,1.000001125264433,0.28499177583947444,False,18,22,22,0,False,0.00014525358446271014,
cold22_0200,22,cold_random,cold22,623200,2.003190137783561,0.2869220216109021,False,18,22,22,0,False,0.007582810685597748,
