trial_index,rank_H_numeric,rank_Delta_numeric,rank_HDelta_numeric,delta_in_eta_numeric,projection_max_residual_numeric
291,18,23,23,False,2.628919256523103
292,18,23,23,False,2.125087542363352
293,18,23,23,False,2.0260470519285825
294,18,23,23,False,2.5904239417385617
295,18,23,23,False,1.4317668751689636
296,18,23,23,False,2.1994328510036087
297,18,23,23,False,2.101411947505458
298,18,23,23,False,2.005797828115677
299,18,23,23,False,1.7061544484438107
300,18,23,23,False,2.191770335237676
301,18,23,23,False,1.8416490921172113
302,18,23,23,False,2.710498172122121
303,18,23,23,False,1.6227643396438864
304,18,23,23,False,1.8790359552154983
305,18,23,23,False,2.6650618766850505
306,18,23,23,False,1.9936141066728397
307,18,23,23,False,1.6485481890337057
308,18,23,23,False,2.6783534357240457
309,18,23,23,False,3.1625069879771552
310,18,23,23,False,1.6366084306868793
311,18,23,23,False,1.840031129805954
312,18,23,23,False,2.211125801087275
313,18,23,23,False,2.5090752813892223
314,18,23,23,False,2.2995138112078624
315,18,23,23,False,1.4245828025523743
316,18,23,23,False,2.1808098500824924
317,18,23,23,False,3.261959359603634
318,18,23,23,False,1.8117968322790017
319,18,23,23,False,2.709366206942784
320,18,23,23,False,2.678753415991109
321,18,23,23,False,3.8863195422055217
322,18,23,23,False,1.7673913847499167
323,18,23,23,False,2.063073154887962
324,18,23,23,False,2.3265302702636843
325,18,23,23,False,2.28083268313463
326,18,23,23,False,2.0968423332194446
327,18,23,23,False,2.24209325632538
328,18,23,23,False,1.512672314519486
329,18,23,23,False,2.8150598401754774
330,18,23,23,False,1.366659368645616
331,18,23,23,False,1.8276137471190277
332,18,23,23,False,3.064736518962034
333,18,23,23,False,1.8656245718547482
334,18,23,23,False,1.430279472183314
335,18,23,23,False,2.400757603470313
336,18,23,23,False,2.6483437836359993
337,18,23,23,False,1.6617716032837246
338,18,23,23,False,2.4026479226812345
339,18,23,23,False,2.9313499187385865
340,18,23,23,False,2.5643394230232195
341,18,23,23,False,1.9384087285731104
342,18,23,23,False,1.804183832081251
343,18,23,23,False,1.9951516445293072
344,18,23,23,False,1.8140437943338334
345,18,23,23,False,1.6170724179553833
346,18,23,23,False,2.0789513363951153
347,18,23,23,False,2.5945972825919834
348,18,23,23,False,2.3751657843691283
349,18,23,23,False,1.2702692619114575
350,18,23,23,False,1.4943565313462623
351,18,23,23,False,2.7147284854801943
352,18,23,23,False,2.753837402864929
353,18,23,23,False,2.157232039902213
354,18,23,23,False,3.006031526640463
355,18,23,23,False,1.851343364271747
356,18,23,23,False,2.623273223903766
357,18,23,23,False,2.5968806181120048
358,18,23,23,False,1.7968820925048272
359,18,23,23,False,2.0104570794535146
360,18,23,23,False,1.8447886602814316
361,18,23,23,False,2.343827796975364
362,18,23,23,False,2.497792096914137
363,18,23,23,False,2.367880018550636
364,18,23,23,False,1.73010001669959
365,18,23,23,False,2.31924285871115
366,18,23,23,False,3.1252908597281666
367,18,23,23,False,2.055640107842277
368,18,23,23,False,1.9310704999890702
369,18,23,23,False,2.510379877297216
370,18,23,23,False,3.2844030920999336
371,18,23,23,False,1.7952160217490674
372,18,23,23,False,1.9463817249306792
373,18,23,23,False,1.984179751362701
374,18,23,23,False,2.2682626630468428
375,18,23,23,False,1.5818366815129061
376,18,23,23,False,1.4745476227655574
377,18,23,23,False,2.125313458961767
378,18,23,23,False,1.8632622826784804
379,18,23,23,False,1.6548403771203875
380,18,23,23,False,2.082380637638374
381,18,23,23,False,2.7245315140411517
382,18,23,23,False,1.5520998051147696
383,18,23,23,False,2.4192683552521
384,18,23,23,False,1.8837007512798387
385,18,23,23,False,1.8665774589348259
386,18,23,23,False,2.4792650972580783
387,18,23,23,False,2.214265966578465
388,18,23,23,False,3.012528453849553
389,18,23,23,False,2.2250202522813773
390,18,23,23,False,1.7926119261034508
391,18,23,23,False,2.1874120948595612
392,18,23,23,False,3.041297729396977
393,18,23,23,False,1.7977746578577882
394,18,23,23,False,2.0165622255627134
395,18,23,23,False,2.9813024273851894
396,18,23,23,False,2.076959922843295
397,18,23,23,False,3.458244264148587
398,18,23,23,False,2.117080109731875
399,18,23,23,False,1.5395300950358792
400,18,23,23,False,1.594321113434897
401,18,23,23,False,3.9579992336704577
402,18,23,23,False,2.1657262680104
403,18,23,23,False,2.054086714238983
404,18,23,23,False,1.7649313133495887
405,18,23,23,False,1.7485576820487392
406,18,23,23,False,1.895636961222753
407,18,23,23,False,3.1735746368686284
408,18,23,23,False,1.903837549566341
409,18,23,23,False,1.7671694568707994
410,18,23,23,False,2.2617450486366684
411,18,23,23,False,1.8796224759270252
412,18,23,23,False,2.1848099791083744
413,18,23,23,False,1.8307133757714615
414,18,23,23,False,1.8226807639119653
415,18,23,23,False,1.483307193576302
416,18,23,23,False,1.5789565385273454
417,18,23,23,False,2.106062244683576
418,18,23,23,False,2.824037535493792
419,18,23,23,False,1.6916357733798923
420,18,23,23,False,1.7196848688590427
421,18,23,23,False,1.6362662729096762
422,18,23,23,False,1.623756999690594
423,18,23,23,False,2.7077382716168907
424,18,23,23,False,3.010118897133939
425,18,23,23,False,2.855482046005823
426,18,23,23,False,3.1379694947415855
427,18,23,23,False,3.6590525809437917
428,18,23,23,False,1.6474151932394925
429,18,23,23,False,2.841646947383804
430,18,23,23,False,1.9168635269298435
431,18,23,23,False,1.3306940234215676
432,18,23,23,False,2.1847011045209257
433,18,23,23,False,1.7411383504948885
434,18,23,23,False,2.858591062391044
435,18,23,23,False,2.073106648099477
436,18,23,23,False,2.020941132546716
437,18,23,23,False,1.5547139360426052
438,18,23,23,False,2.390142427014289
439,18,23,23,False,3.194412902233862
440,18,23,23,False,2.2493651364132092
441,18,23,23,False,1.4936408611545022
442,18,23,23,False,1.7885797574342304
443,18,23,23,False,2.012260238090296
444,18,23,23,False,1.7097105165075952
445,18,23,23,False,2.074111291471894
446,18,23,23,False,1.8669491779929126
447,18,23,23,False,2.299465042671545
448,18,23,23,False,2.2683840881656128
449,18,23,23,False,2.165626535164181
450,18,23,23,False,2.0232354579582608
451,18,23,23,False,2.087636591119099
452,18,23,23,False,1.8284782434726725
453,18,23,23,False,2.040687877401827
454,18,23,23,False,2.1480110754424118
455,18,23,23,False,1.78859124889783
456,18,23,23,False,2.128464794992232
457,18,23,23,False,2.5576793634658355
458,18,23,23,False,1.964065753858549
459,18,23,23,False,1.7979284846675658
460,18,23,23,False,1.8467459722299182
461,18,23,23,False,2.261397682518628
462,18,23,23,False,1.6837682023807485
463,18,23,23,False,2.437803885731615
464,18,23,23,False,1.5337688067111825
465,18,23,23,False,1.7748379277790558
466,18,23,23,False,1.7158747953691134
467,18,23,23,False,1.72298713546318
468,18,23,23,False,2.575651942574186
469,18,23,23,False,1.5055734894153998
470,18,23,23,False,2.3372327620219138
471,18,23,23,False,2.0692104437347267
472,18,23,23,False,2.4478599928919467
473,18,23,23,False,2.624662731149682
474,18,23,23,False,1.717975291430712
475,18,23,23,False,1.7150297986512846
476,18,23,23,False,1.6475818261076016
477,18,23,23,False,1.876244943787852
478,18,23,23,False,2.6489605508465504
479,18,23,23,False,2.5056376976303545
480,18,23,23,False,3.547022016008804
481,18,23,23,False,2.5436479991401795
482,18,23,23,False,2.0333289802340264
483,18,23,23,False,2.501776202985702
484,18,23,23,False,2.277342935341457
485,18,23,23,False,2.373659056877085
